Content;Date;Jour;Mois;Année;Link;Utilisateur;Utilisateur_id;Comments;Retweets;Quotes;Hearts
"Ah, en effet...
La transition écologique est l'occasion pour certains de tenter une révolution économique.
À surveiller de près!";01/01/2023;1;1;2023;/PaysagesIroise/status/1609699207169941505#m;Sauvegarde Paysages d'Iroise;@PaysagesIroise;;;;1
Méthode pour une transition écologique dans les grandes écoles de ... - Sénat bit.ly/3G1fnlS;01/01/2023;1;1;2023;/InfosEducation/status/1609693388776906752#m;Education & Formation;@InfosEducation;;;;
"Enseignement agricole et transition écologique : ""Ne nous confisquez pas le débat !"" - Signez la pétition ! chng.it/26ZcvMRy via @ChangeFrance";01/01/2023;1;1;2023;/VIENSflashmober/status/1609686785084493826#m;Etat d'urgence;@VIENSflashmober;;;;
"la pollueuse de notre planète qui a des intérêts dans l industrie pétrolière !!!!
c est cela une ministre de la transition écologique selon Macron les lobbys au coeur des décisions politiques !!!";01/01/2023;1;1;2023;/LIBERTE1311/status/1609677427223007232#m;eddy;@LIBERTE1311;;;;1
"Quand la transition écologique bouscule la politique 
Le risque serait de donner l’impression que les choses sont imposées d’en haut. D’où l’impératif de mieux associer les élus locaux et rendre la Ve République plus horizontale. lemonde.fr/planete/article/2… via @lemondefr";01/01/2023;1;1;2023;/PACOLLOT/status/1609676117555781634#m;Pierre-Alain Collot;@PACOLLOT;;;;
Arrêtez de nous gonfler avec votre transition écologique;01/01/2023;1;1;2023;/verolive83/status/1609668005914451969#m;Olive83;@verolive83;;;;1
"Continuer de réformer le pays : déjà 3000 milliards € de dettes. Continuons!
Accélérer la transition écologique : retour au charbon, coupures d'électricité, explosion des prix de l'énergie. Et ils sont fiers, les bouffons!";01/01/2023;1;1;2023;/Hergastul/status/1609654495906091009#m;Hergastul;@Hergastul;;;;5
▶️2/: rien pour la grève des médecins, rien pour le souci de santé des Français, rien pour le besoin de mieux se nourrir et de terminer les fins de mois pour les citoyens que nous sommes etc! Et la transition écologique il y en a assez avec ça!!!⏩;01/01/2023;1;1;2023;/PatrickGlesener/status/1609648822455599111#m;Patrick Glesener;@PatrickGlesener;1;;;
"La transition écologique est une triste arnaque. En diabolisant le CO2 (0,04% de l'air!)et en voulant mettre à la casse 1 milliard de véhicules thermiques, vs préparez une catastrophe écologique! Sans compter que les véhicules électriques posent de nombreux problèmes!
#Pollutions";01/01/2023;1;1;2023;/giOrdanoB6946/status/1609630832896970752#m;giOrdanO B;@giOrdanoB6946;;1;;4
C’qui n’a aucun sens. La transition écologique c’est le développement durable, et c’est l’opposé de la décroissance;01/01/2023;1;1;2023;/randomie7i/status/1609627648384188418#m;Prophète Issud Sekour 🕋🏳️‍🌈🇩🇿;@randomie7i;1;;;
Stop avec la transition écologique c'est une escroquerie;01/01/2023;1;1;2023;/Marie08979035/status/1609624118046908416#m;El*a*e Carrier;@Marie08979035;;1;16;
Les minerais stratégiques ,les terres rares indispensables pour la transition écologique et la technologie de pointe se trouvent en RDC,les USA devraient penser à créer un partenariat avec Kinshasa comme Roosevelt l'avez fait avec l'Arabie saoudite;01/01/2023;1;1;2023;/JeannotMbaya/status/1609617907729993729#m;Jeannot Mbaya 🇨🇩 MD;@JeannotMbaya;2;;;
"Une véritable transition écologique. Est possible si elle est organisée prévue sur le long terme et ne fait  pas n'importent quoi .
Il est possible de faire du recyclage du plastique pour en faire du pétrole. Un inventeur français à fabriquer une machine pour cela...";01/01/2023;1;1;2023;/latulipenoire31/status/1609617800544358401#m;🦝P.F.A🇨🇵✝️;@latulipenoire31;1;1;;1
"En fait il mélange je crois deux notions "" la transition énergétique "" et "" la transition écologique """;01/01/2023;1;1;2023;/Olivancalderone/status/1609617507224064003#m;Olivier Antoine Cald;@Olivancalderone;;;;
Les derniers chiffres publiés par le ministère de la transition écologique font état d'un fort recul du nombre de permis de construire délivrés entre septembre et novembre 2022. buff.ly/3i6b14Z;01/01/2023;1;1;2023;/MySweetimmo/status/1609617202830884865#m;MySweet'Immo;@MySweetimmo;;1;;1
Transition écologique : à 20h ce samedi, jour de réveillon, les pompiers qui s'amusent à Angers en prenant la grande avenue du centre ville, gyro et 2 tons, juste pour gaspiller le carburant de 4 véhicules et l'imbécile déguisé en plongeur sur la grande échelle. Bel exemple !;01/01/2023;1;1;2023;/LaurencePalais/status/1609614252364406785#m;Laurence Palais;@LaurencePalais;;;;
"Estrosi TOUTE HONTE BUE
Salue le cap fixé ce soir par le Président :
Pour continuer de réformer notre pays et faire face aux enjeux de 2023: soutenir notre économie et nos emplois, en particulier nos artisans, renforcer la justice sociale et accélérer la transition écologique.";01/01/2023;1;1;2023;/PMonoxyle/status/1609614097884057600#m;🇫🇷Piroguier Monoxyle;@PMonoxyle;;2;1;3
"#Macron n'avait pas prévu la guerre en Ukraine. La transition ecologique n'était pas sa priorité et il ne l'aurait pas faite.
Il a dc voulu dire : qui aurait pu predire la guerre en Ukraine?
De là decoule la TE forcée pr récupérer et amortir les pertes financières abyssales.
CQFD";01/01/2023;1;1;2023;/MendiniNassim/status/1609611886181646336#m;Nassim Mendini;@MendiniNassim;;;;
Transition écologique et jeux Olympiques, il y a quelque chose qui ne tourne pas rond dans le discours d'Emmanuel Macron.;01/01/2023;1;1;2023;/DavidBorie4/status/1609610243960410112#m;David Borie;@DavidBorie4;;;;
"26/34
mais il implique une profonde transformation sociétale et une repriorisation des investissements. La transition écologique vers une société décarbonée et résiliente ne peut marcher qu’avec 2 jambes :";02/01/2023;2;1;2023;/BARLANicolas1/status/1610059759687979008#m;Nicolas Barla;@BARLANicolas1;1;;;2
"Pas besoin de ré-expliquer, il a été très clair en septembre dernier ; faire des économies sur les retraites pour financer d’autres réformes à venir sur l’école, la santé, la transition écologique…
En somme faire porter les efforts à venir aux travailleurs.";02/01/2023;2;1;2023;/Ortofon76/status/1610047542187937793#m;Ortofon;@Ortofon76;1;;;1
"🇫🇷 Visite officielle 
Pierre Ory @Prefet49 a accueilli  @christopheBechu, Ministre de la Transition écologique et de la Cohésion des territoires à Angers ce soir, à l'occasion de la cérémonie des vœux du Maire @JM_Verchere aux Angevins, au centre des congrès.";02/01/2023;2;1;2023;/Prefet49/status/1610032798496169986#m;Préfet de Maine-et-Loire 🇫🇷🇪🇺;@Prefet49;;1;;24
Cynisme et irresponsabilité. Le ministre de la transition #écologique évoque l’#économie #circulaire et la #biodiversité en faisant de la pub pour Mc Do. Envie d’aller en démonter un ! La malbouffe tue. #climat #vivant #santé;02/01/2023;2;1;2023;/sophie_bussiere/status/1610023942332289024#m;Sophie Bussiere 🌻;@sophie_bussiere;;14;18;
"La vaisselle jetable dans les fast-foods, c'est fini !  Le ministre de la Transition écologique était ce lundi au McDo du Mans pour constater le changement 🍔🥛 @ChristopheBechu @Ecologie_Gouv @BCouillard33 @McDonaldsFrance
l.ouest-france.fr/WMc";02/01/2023;2;1;2023;/lemainelibre/status/1610016656780050438#m;Le Maine Libre.fr;@lemainelibre;1;3;;16
Actu-Environnement élargit son offre éditoriale #transition #écologique actu-environnement.com/ae/ne…;02/01/2023;2;1;2023;/Actuenviro/status/1609998033290158082#m;Actu Environnement;@Actuenviro;1;2;;8
Au contraire, les services publics participent à la fois à la justice sociale ET à la transition écologique. Les classes modestes et moyennes habitant en ville sont sans doute celles qui bénéficient le plus de services gratuits ou à tarifs faibles (inférieurs au coût réel) !;02/01/2023;2;1;2023;/AudreyHenocque/status/1609997908593475588#m;Audrey Hénocque;@AudreyHenocque;7;5;;33
Transition écologique des bâtiments tertiaires: Spie se positionne sur un marché à plusieurs milliards d'euros dlvr.it/SgGzbv;02/01/2023;2;1;2023;/eco_actu/status/1609996600503578625#m;Actualité économique;@eco_actu;;;;
Lundi 02 janvier 2023  Depuis le 1er janvier 2023, les enseignes de restauration rapide ont l’obligation d’utiliser de la vaisselle lavable. Ce lundi 2 janvier 2023, le ministre de la Transition écologique Christophe Béchu a constaté le changement... lemans.maville.com/actu/actu…;02/01/2023;2;1;2023;/SartheInfos/status/1609995578548551681#m;Sarthe Infos;@SartheInfos;;;;
12/ C’est le bordel ? Les contrôleurs participent à la production de ce bénéfice, dans des activités privées alors que faire circuler des trains à grande vitesse, pour la transition écologique, ça ne devrait pas obéir aux logiques du marché.;02/01/2023;2;1;2023;/groum_groum/status/1609988577974272001#m;🚂Gaaab🚂;@groum_groum;1;;;1
Un petit pas vers une transition écologique.;02/01/2023;2;1;2023;/Babapolitique/status/1609986334013235204#m;Baptiste Spalony🇫🇷🇪🇺;@Babapolitique;;;1;
