Content,Date,Utilisateur,Tweets_Controverse
"""Non , Emmanuel Macron ne découvre pas le réchauffement climatique, mais qui aurait pu prédire les incendies à Brocéliande ? Ou encore les méga-feu tout près d'Arcachon ?""
@AgnesRunacher, ministre de la Transition énergétique, dans #CàVous",2023-01-03,C à vous,803
"Transition énergétique mal pensée : 120 milliards d’euros engagés n’ont pas réduit d’une seule tonne nos émissions de CO2

Ou comment nous avons à grands frais remplacé de l’électricité décarbonée…par de l’électricité décarbonée
atlantico.fr/article/decrypt…",2023-04-08,Fabien Bouglé,428
"💥Macron nous mène à :
1️⃣La guerre, avec le soutien inconsidéré à l’Ukraine
2️⃣La ruine avec le marché UE de l’électricité et la ""transition énergétique""
3️⃣La violence et le chaos intérieur
(après la manipulation ""Covid"")
➡️Les Français doivent se débarrasser de ce psychopathe.",2023-03-23,Philippe Herlin,310
"Le cobalt est un métal particulièrement sollicité par les technologies vertes mobilisées par la transition énergétique. 80 % du cobalt est consommé pour fabriquer des batteries lithium-ion.
Est-ce que ça vaut la souffrance de ces hommes ?",2023-03-25,Fil Rouge France,285
"#PJLNucléaire | Début des travaux en commission au @Sénat. 

Avec ce texte, nous souhaitons raccourcir les délais administratifs pour construire de nouveaux réacteurs et accélérer la transition énergétique de notre pays.",2023-01-11,Agnès Pannier-Runacher 🇫🇷🇪🇺,180
Transition énergétique mal pensée : 120 milliards d’euros engagés n’ont pas réduit d’une seule tonne nos émissions de CO2 | Atlantico.fr atlantico.fr/article/decrypt…,2023-04-08,Yves Pozzo di Borgo,154
"Un conseil énergie 🇪🇺 marqué par l’adoption de textes majeurs pour notre transition énergétique :

✅ Développement de l’hydrogène et baisse de notre consommation de gaz fossile

✅ Fin des véhicules thermiques en 2035

Et une nouvelle rencontre avec mon homologue ukrainien.",2023-03-28,Agnès Pannier-Runacher 🇫🇷🇪🇺,154
"Ordonnance présidentielle notifiée ce jr aux 1ers animateurs du Conseil Congolais de la Batterie.Prise de fonction aussitôt,assignations données,Gestion Axée sur les Résultats,perspectives 2030.Le monde a ses yeux rivés sur #RDC ds la transition énergétique @fatshi13 @LukondeSama",2023-02-21,JULIEN PALUKU,153
"Avant, les écolos citaient l’Allemagne comme “modèle” de transition énergétique. Comme ça devient difficile, le nouveau modèle c’est l’Australie méridionale: 1,7 million d’habitants (dont les 3/4 dans la capitale Adélaïde) sur une surface de 2 fois la France.:)",2023-03-18,François Momboisse,142
"🇫🇷🇬🇧 Avec ce 36e Sommet franco-britannique, nous renforçons notre coopération en faveur de la transition énergétique.

Nous signons avec mon homologue @grantshapps deux partenariats pour développer ensemble le #nucléaire & les #ENR et accélérer notre sortie des énergies fossiles.",2023-03-10,Agnès Pannier-Runacher 🇫🇷🇪🇺,139
