Content,Date,Utilisateur,Hearts
"À ne pas financer l'éducation, les hôpitaux, les retraites et la transition écologique.",2023-04-04,Mickaël Correia,633
"""Je veux bien qu'on mette 450 milliards d'euros par an dans la transition écologique. Mais si c'est pour acheter des panneaux solaires chinois et perdre nos emplois, je dis non. Il faut un plan pour investir pour nos emplois. Il n'y a pas une seconde à perdre.""_x000D_
@ThierryBreton",2023-01-08,C dans l'air,85
"⭕️ regardez moi ce thread, il veut ré industrialiser avec des usines à insectes _x000D_
_x000D_
Tu perds Alstom mais tu récupères une usine à insecte … le génie français !_x000D_
_x000D_
Donc sous couvert d’une transition écologique on va manger des insectes !",2023-04-21,fabian Naceri,73
"Nous appelons à suspendre le processus de promulgation du PLFRSS 2023 et à ouvrir des ""Assises nationales du travail, de l’emploi"" en vue de la transition écologique, organisées avec toutes les parties prenantes qui permettront de refonder notre contrat social.",2023-03-26,Économistes Atterrés,72
"400 000 tonnes !_x000D_
_x000D_
On pourrait éviter d'émettre 400 000 tonnes de CO2 en interdisant les vols en jets privés mais le ministre de la transition écologique ne préfère pas trop parce que...ce n'est pas assez 🤯_x000D_
_x000D_
Du coup vous servez à quoi exactement @ChristopheBechu ?_x000D_
_x000D_
#VraieQuestion",2023-04-03,Lou Chesné / @louchesne@mas.to,62
"Installer une pompe à chaleur dans un logement non isolé, «c’est une arnaque», pour la ministre de la Transition écologique Agnès Pannier-Runacher. C’est pourtant une pratique courante et encouragée par l’Etat à travers #MaPrimeRenov #ComplémentDenquete",2023-03-02,Tristan Waleckx,61
"#Renards ❤  Le conseil municipal d'#Orléans vote un vœu que le ministère de la Transition écologique sorte les renards de la liste des ""espèces susceptibles d'occasionner des dégâts"", une liste de la mort. Merci pour ce vote  historique 🙏 @ChristopheBechu @BCouillard33",2023-02-20,Yael Angel,47
"Théoriser l'inaction comme ze new normal. Vous avez aimé l'invisibilisation du covid? Vous allez adorer la ""transition écologique"" version Renaissance",2023-02-22,Christian Lehmann,41
"Nous avons échangé avec @sarahelhairy sur le Service National Universel et l’engagement citoyen de notre jeunesse._x000D_
_x000D_
Une belle opportunité d'allier cohésion et formation à la transition écologique. C'est notre engagement !",2023-01-03,Christophe Béchu,31
"Merci Mme La Première Ministre @Elisabeth_Borne pour les annonces de ce lundi. Parmi les 150 premiers lauréats du fonds vert, 2 communes de ma circonscription, Saint-Pierre de-Chandieu & Saint-Romain-En-Gal, sont retenues, c’est du concret pour accélérer la transition écologique!",2023-04-03,Jean-Luc FUGIT,28
