Content,Date,Utilisateur,Hearts
"""Non , Emmanuel Macron ne découvre pas le réchauffement climatique, mais qui aurait pu prédire les incendies à Brocéliande ? Ou encore les méga-feu tout près d'Arcachon ?""
@AgnesRunacher, ministre de la Transition énergétique, dans #CàVous",2023-01-03,C à vous,178
"Avant, les écolos citaient l’Allemagne comme “modèle” de transition énergétique. Comme ça devient difficile, le nouveau modèle c’est l’Australie méridionale: 1,7 million d’habitants (dont les 3/4 dans la capitale Adélaïde) sur une surface de 2 fois la France.:)",2023-03-18,François Momboisse,106
"Le ""pays-modèle"" de la transition énergétique européenne est donc en fait le 2e plus mauvais, seule la Pologne fait pire. En France on est parmi les meilleurs, voire les meilleurs, mais on nous présente comme ""très en retard"".  #LesPremiersSerontLesDerniers",2023-01-06,Pierre Beyssac 🇫🇷🇪🇺🇺🇦,94
"C'est ça, leur problème c'est certainement le climat. 
L'aide alimentaire mondiale c'est  8 milliards/an pour le monde entier
La transition énergétique c'est 60 milliards en 2023 juste pour la France.",2023-04-12,marco nius,67
Transition énergétique mal pensée : 120 milliards d’euros engagés n’ont pas réduit d’une seule tonne nos émissions de CO2 | Atlantico.fr atlantico.fr/article/decrypt…,2023-04-08,Yves Pozzo di Borgo,41
"Le cobalt est un métal particulièrement sollicité par les technologies vertes mobilisées par la transition énergétique. 80 % du cobalt est consommé pour fabriquer des batteries lithium-ion.
Est-ce que ça vaut la souffrance de ces hommes ?",2023-03-25,Fil Rouge France,37
"La transition énergétique à l'allemande : on construit des centrales à gaz fossile et à charge pour les successeurs de les convertir à l'hydrogène (très peu probable).

Et le pire c'est que c'est un ministre revendiquant des convictions écologistes qui défend ça...",2023-02-23,Maxence Cordiez,32
Merci cher @Bowenchris pour ces échanges. De nombreux points de convergence pour accélérer notre transition énergétique et développer une économie zéro carbone.,2023-02-01,Agnès Pannier-Runacher 🇫🇷🇪🇺,30
"Monsieur @MaximeLaisneyFi, pouvez-vous répondre à ces deux questions ?
1) Où avez vous vu qu'il était question aujourd'hui de construire 56 réacteurs et a quelle échéance ?
2) À quel prix d'ici 2050 estimez vous la transition énergétique que vous considérerez souhaitable ?",2023-03-17,Tristan Kamin,23
"Merci à @ChristopheBechu pour ce travail en étroite collaboration.

Je tiens également à remercier @G_GouffierCha et tous les députés qui ont travaillé sur ce texte pour l’enrichir en faveur de la transition énergétique. 

Prochaine étape : le Sénat !",2023-01-19,Thomas Cazenave,21
