Content,Clean_Tweet,Date
"Ah, en effet..._x000D_
La transition écologique est l'occasion pour certains de tenter une révolution économique._x000D_
À surveiller de près!","['effetx000d', 'transition', 'écologique', 'loccasion', 'tenter', 'révolution', 'économiquex000d', 'surveiller']",2023-01-01
Méthode pour une transition écologique dans les grandes écoles de ... - Sénat bit.ly/3G1fnlS,"['méthode', 'transition', 'écologique', 'grand', 'école', 'sénat', 'bitly3g1fnls']",2023-01-01
"Enseignement agricole et transition écologique : ""Ne nous confisquez pas le débat !"" - Signez la pétition ! chng.it/26ZcvMRy via @ChangeFrance","['enseignemer', 'agricole', 'transition', 'écologique', 'confisquez', 'débat', 'signer', 'pétition', 'chngit26zcvmry', 'changefrance']",2023-01-01
"la pollueuse de notre planète qui a des intérêts dans l industrie pétrolière !!!!_x000D_
c est cela une ministre de la transition écologique selon Macron les lobbys au coeur des décisions politiques !!!","['pollueur', 'planèt', 'intérêt', 'industrie', 'pétrolier', 'x000d', 'ministre', 'transition', 'écologique', 'macron', 'lobby', 'coeur', 'décision', 'politique']",2023-01-01
"Quand la transition écologique bouscule la politique _x000D_
Le risque serait de donner l’impression que les choses sont imposées d’en haut. D’où l’impératif de mieux associer les élus locaux et rendre la Ve République plus horizontale. lemonde.fr/planete/article/2… via @lemondefr","['transition', 'écologique', 'bouscule', 'politique', 'x000d', 'risque', 'donner', 'impression', 'chose', 'imposer', 'impératif', 'associer', 'élu', 'local', 'république', 'horizontal', 'lemondefrplanetearticle2', 'lemondefr']",2023-01-01
Arrêtez de nous gonfler avec votre transition écologique,"['arrêter', 'gonfler', 'transition', 'écologique']",2023-01-01
"Continuer de réformer le pays : déjà 3000 milliards € de dettes. Continuons!_x000D_
Accélérer la transition écologique : retour au charbon, coupures d'électricité, explosion des prix de l'énergie. Et ils sont fiers, les bouffons!","['continuer', 'réformer', 'milliard', 'detter', 'continuonsx000d', 'accélérer', 'transition', 'écologique', 'charbon', 'coupure', 'délectricité', 'explosion', 'prix', 'lénergie', 'fier', 'bouffon']",2023-01-01
"▶️2/: rien pour la grève des médecins, rien pour le souci de santé des Français, rien pour le besoin de mieux se nourrir et de terminer les fins de mois pour les citoyens que nous sommes etc! Et la transition écologique il y en a assez avec ça!!!⏩","['grever', 'médecin', 'souci', 'santé', 'français', 'besoin', 'nourrir', 'terminer', 'fin', 'mois', 'citoyen', 'transition', 'écologique']",2023-01-01
"La transition écologique est une triste arnaque. En diabolisant le CO2 (0,04% de l'air!)et en voulant mettre à la casse 1 milliard de véhicules thermiques, vs préparez une catastrophe écologique! Sans compter que les véhicules électriques posent de nombreux problèmes!_x000D_
#Pollutions","['transition', 'écologique', 'triste', 'arnaqu', 'diaboliser', 'co2', 'lairet', 'vouloir', 'casse', 'milliard', 'véhicule', 'thermique', 'préparer', 'catastrophe', 'écologique', 'compter', 'véhicule', 'électrique', 'poser', 'problèmesx000d', 'pollution']",2023-01-01
"C’qui n’a aucun sens. La transition écologique c’est le développement durable, et c’est l’opposé de la décroissance","['sens', 'transition', 'écologique', 'développement', 'durable', 'opposer', 'décroissance']",2023-01-01
Stop avec la transition écologique c'est une escroquerie,"['transition', 'écologique', 'escroquerie']",2023-01-01
"Les minerais stratégiques ,les terres rares indispensables pour la transition écologique et la technologie de pointe se trouvent en RDC,les USA devraient penser à créer un partenariat avec Kinshasa comme Roosevelt l'avez fait avec l'Arabie saoudite","['minerai', 'stratégique', 'terre', 'indispensable', 'transition', 'écologique', 'technologie', 'point', 'trouver', 'rdcle', 'user', 'devoir', 'penser', 'créer', 'partenariat', 'kinshasa', 'roosevelt', 'laver', 'larabie', 'saoudite']",2023-01-01
"Une véritable transition écologique. Est possible si elle est organisée prévue sur le long terme et ne fait  pas n'importent quoi ._x000D_
Il est possible de faire du recyclage du plastique pour en faire du pétrole. Un inventeur français à fabriquer une machine pour cela...","['véritable', 'transition', 'écologique', 'organiser', 'prévoir', 'long', 'terme', 'nimportent', 'x000d', 'recyclage', 'plastique', 'pétrol', 'inventeur', 'français', 'fabriquer', 'machine']",2023-01-01
