Content,Clean_Tweet,Date,Thème TEner,Thème Énergétique,Thème TEco,Thème Écologique
"Ah, en effet..._x000D_
La transition écologique est l'occasion pour certains de tenter une révolution économique._x000D_
À surveiller de près!","['effetx000d', 'écologique', 'loccasion', 'tenter', 'révolution', 'économiquex000d', 'surveiller']",2023-01-01,Thème 1,Production d'énergie et transition énergétique,Thème 4,Santé et développement durable
Méthode pour une transition écologique dans les grandes écoles de ... - Sénat bit.ly/3G1fnlS,"['méthode', 'écologique', 'grand', 'école', 'sénat', 'bitly3g1fnls']",2023-01-01,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 1,Soutien et financement de projets écologiques
"Enseignement agricole et transition écologique : ""Ne nous confisquez pas le débat !"" - Signez la pétition ! chng.it/26ZcvMRy via @ChangeFrance","['enseignement', 'agricole', 'écologique', 'confisquez', 'débat', 'signer', 'pétition', 'chngit26zcvmry', 'changefrance']",2023-01-01,Thème 5,Emploi et formation dans le secteur de l'énergie,Thème 14,Agricultures et politiques environnementales
"la pollueuse de notre planète qui a des intérêts dans l industrie pétrolière !!!!_x000D_
c est cela une ministre de la transition écologique selon Macron les lobbys au coeur des décisions politiques !!!","['pollueur', 'planèt', 'intérêt', 'industrie', 'pétrolier', 'x000d', 'ministre', 'écologique', 'macron', 'lobby', 'coeur', 'décision', 'politique']",2023-01-01,Thème 0,Politique énergétique et environnementale,Thème 3,Énergie et économie vers une société écologique
"Quand la transition écologique bouscule la politique _x000D_
Le risque serait de donner l’impression que les choses sont imposées d’en haut. D’où l’impératif de mieux associer les élus locaux et rendre la Ve République plus horizontale. lemonde.fr/planete/article/2… via @lemondefr","['écologique', 'bouscule', 'politique', 'x000d', 'risque', 'donner', 'impression', 'chose', 'imposer', 'impératif', 'associer', 'élu', 'local', 'république', 'horizontal', 'lemondefrplanetearticle2', 'lemondefr']",2023-01-01,Thème 13,Politique énergétique en Allemagne,Thème 1,Soutien et financement de projets écologiques
Arrêtez de nous gonfler avec votre transition écologique,"['arrêter', 'gonfler', 'écologique']",2023-01-01,Thème 13,Politique énergétique en Allemagne,Thème 12,Écologie et construction de bâtiments durables
"Continuer de réformer le pays : déjà 3000 milliards € de dettes. Continuons!_x000D_
Accélérer la transition écologique : retour au charbon, coupures d'électricité, explosion des prix de l'énergie. Et ils sont fiers, les bouffons!","['continuer', 'réformer', 'milliard', 'detter', 'continuonsx000d', 'accélérer', 'écologique', 'charbon', 'coupure', 'délectricité', 'explosion', 'prix', 'lénergie', 'fier', 'bouffon']",2023-01-01,Thème 6,Emploi et dynamique économique,Thème 5,Économie et écologie : enjeux et perspectives
"▶️2/: rien pour la grève des médecins, rien pour le souci de santé des Français, rien pour le besoin de mieux se nourrir et de terminer les fins de mois pour les citoyens que nous sommes etc! Et la transition écologique il y en a assez avec ça!!!⏩","['grever', 'médecin', 'souci', 'santé', 'français', 'besoin', 'nourrir', 'terminer', 'fin', 'mois', 'citoyen', 'écologique']",2023-01-01,Thème 0,Politique énergétique et environnementale,Thème 0,Politiques environnementales et écologiques du gouvernement français
"La transition écologique est une triste arnaque. En diabolisant le CO2 (0,04% de l'air!)et en voulant mettre à la casse 1 milliard de véhicules thermiques, vs préparez une catastrophe écologique! Sans compter que les véhicules électriques posent de nombreux problèmes!_x000D_
#Pollutions","['écologique', 'triste', 'arnaqu', 'diaboliser', 'co2', 'lairet', 'vouloir', 'casse', 'milliard', 'véhicule', 'thermique', 'v', 'préparer', 'catastrophe', 'écologique', 'compter', 'véhicule', 'électrique', 'poser', 'problèmesx000d', 'pollution']",2023-01-01,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"C’qui n’a aucun sens. La transition écologique c’est le développement durable, et c’est l’opposé de la décroissance","['sens', 'écologique', 'développement', 'durable', 'opposer', 'décroissance']",2023-01-01,Thème 2,Énergie renouvelable et développement international,Thème 10,Services publics et transition écologique
Stop avec la transition écologique c'est une escroquerie,"['écologique', 'escroquerie']",2023-01-01,Thème 13,Politique énergétique en Allemagne,Thème 3,Énergie et économie vers une société écologique
