mots,fréquence d'apparition depuis début 2023
"['prochain', 'étape', 'virer', 'lofate', 'ministèr', 'lenvironnement', 'représentation', 'éolien', 'office', 'francoallemand', 'friend', 'wind', 'frfriendsagainstwindorg']",4
"['urgence', 'climatique', 'vrai', 'écologiquex000d', 'leslignesbougentorgpetitio']",4
"['contraindre', 'edf', 'concurrent', 'électricité', 'nucléaire', 'prix', 'artificiellemer', 'dernier', 'pouvoir', 'ensuite', 'proposer', 'consommateur', 'faire', 'edf', 'consommateur', 'bénéficier', 'mécanism', 'absurde']",3
"['suicide', 'programmer', 'classe', 'moyenne', 'trendslevifbeopinionschr']",3
"['rapport', 'accabler', 'choix', 'énergétique', 'france', 'pert', 'souveraineté', 'divagation', 'politique', 'éloigné', 'écologique', 'lemondefreconomiearticle', 'lemondefr']",3
"['écologique', 'pêche', 'anticipé', 'reporterrenetlatransition', 'reporterre']",2
"['écologique', 'produire', 'chômage', 'frirefeuropeorgpublicatio']",2
"['ministre', 'écologique', 'favorable', 'écologie', 'x000d', 'ministre', 'écologique', 'aimer', 'touch', 'croissance', 'économie', 'vote', 'électeur']",2
"['coupe', 'france', 'potager', 'accélérer', 'écologique', 'main', 'terre', 'libération', 'liberationfrlifestylecoup']",2
"['supermarcher', 'mauvais', 'élève', 'écologique', 'mediapart', 'mediapartfrjournalecologi']",2
"['irsn', 'établissement', 'public', 'caractèr', 'industriel', 'commercial', 'epic', 'placer', 'tutelle', 'conjoint', 'ministre', 'écologique', 'ministre', 'armée', 'ministre', 'charger', 'recherche', 'santé']",2
"['shell', 'climat', 'écologique', 'lemondefr', 'lemondefreconomiearticle']",2
"['aurore', 'stéphant', 'casser', 'mythe', 'énergetiqu', 'pipedvideobgxnuuqbm']",2
"['xavier', 'huillard', 'chantier', 'olympique', 'chantier', 'écologique', 'solidaire', 'président', 'durable', 'vinci', 'lefigarofrdecideursxavier']",2
"['terre', 'agricole', 'français', 'accapar', 'investisseur', 'mettre', 'péril', 'écologique', 'novethicfractualiteenviro', 'novethic']",2
"['retraite', 'emmanuelmacron', 'mentir', 'écologique', 'mystification', 'politique', 'pschitt', 'ficelle', 'gros', 'mal', 'ficelée', 'lemondefrideesarticle202']",1
"['venir', 'ministre', 'intérieur', 'limite', 'olivier', 'klein', 'ministre', 'déléguer', 'auprès', 'ministre', 'écologique', 'cohésion', 'territoire', 'charger', 'ville', 'logement']",1
"['ouch', 'députer', 'sénateur', 'rejettent', 'nomination', 'candidat', 'proposer', 'lelyser', 'tête', 'lagence', 'écologique', 'elysee', 'macron', 'francetvinfofrpolitiquele']",1
"['conjugue', 'plan', 'relance', 'vrai', 'écologique']",1
"['craindre', 'écologique', 'sacrifice', 'renoncement', 'supposer', 'accepter', 'peuple', 'lire', 'français', 'prendre', 'pari']",1
"['valmasdel', 'soirer', 'soutien', 'lessoulevement', 'x000d', 'x000d', 'lautorité', 'environnemental', 'conclure', 'écologique', 'amorcer', 'france', 'modification', 'préoccupant', 'droit', 'lenvironnement', 'inquiétude', 'manifeste']",1
"['idée', 'avis', 'ces', 'gabrielattalx000d', 'x000d', 'ecologiqu', 'financement', 'associatif', 'x000d', 'précarité', 'étudiant', 'x000d', 'sport', 'inclusif', 'x000d', 'urbanisme', 'x000d', 'x000d', 'cagnotte', 'kermess', 'làde', 'bosser', 'proposer', 'chose']",1
"['jeudi', 'députer', 'camp', 'présidentiel', 'officiellement', 'détacher', 'groupe', 'renaissance', 'assemblée', 'ancien', 'ministre', 'écologique', 'barbara', 'pompili', 'collègue', 'cécile', 'rilhac', 'stella', 'dupont', 'mireill', 'clapot', 'membre', 'microparti', 'commun']",1
"['question', 'oral', 'débat', 'x000d', 'x000d', 'retrouver', 'question', 'christophe', 'béchu', 'ministre', 'écologique', 'cohésion', 'territoire', 'débat', 'impact', 'écologie', 'punitif', 'inflation', 'pouvoir', 'achat', 'x000d', 'x000d', 'directanx000d', 'écologiepunitivex000d', 'inflationx000d']",1
"['penser', 'français', 'voter', 'pen', 'zemmour', 'raciste', 'xénophobe', 'misogyne', 'homophobe', 'vouloir', 'écologique', 'comprend', 'fasciste']",1
"['yen', 'dire', 'ecolos', 'fermer', 'central', 'nucléaire', 'bander', 'désastre', 'écologique', 'écologique', 'allemand']",1
"['linertie', 'linadéquation', 'réponse', 'institutionnel', 'politique', 'catalyseur', 'accélérer', 'écologiquex000d', 'valmasdel', 'inquiet', 'inquiéterx000d', 'proposer', 'issu', 'impasse', 'actuel']",1
"['écologique', 'oublier', 'faux', 'problème', 'faux', 'solution']",1
"['sabriner', 'sebaihi', 'députer', 'nupe', 'émettre', 'avis', 'défavorable', 'lutilisation', 'incertain', 'fonds', 'accélération', 'écologique', 'territoire', 'assembleenationalefrdyn1']",1
"['convaincr', 'rn', 'prendre', 'main', 'programm', 'écolo', 'complètement', 'con', 'ladn', 'rn', 'justement', 'sécurisation', 'capital', 'bien', 'rapport', 'domination', 'changer', 'élément', 'écologique', 'sérieux', 'accessible', 'nature']",1
"['arrêter', 'fixer', 'liste', 'emploi', 'dingénieur', 'chef', 'traval', 'public', 'letat', 'premier', 'groupe', 'service', 'ministèr', 'écologique', 'cohé', 'arrete', 'legifrancegouvfrjorfidj']",1
"['pierre', 'charbonnier', 'écologique', 'menacer', 'liberté', 'mauvais', 'foi', 'alternativeseconomiquesfr', 'altereco']",1
"['intéressant', 'frustrant', 'terre', 'brûler', 'macron', 'branler', 'branler', 'doi', 'écrir', 'page', 'secteur', 'piétiner', 'gouvernement', 'total', 'manqu', 'moyen', 'écologique']",1
"['bonjour', 'étalement', 'terre', 'fertile', 'écologique']",1
"['droit', 'paresse', 'pleine', 'contradiction', 'travail', 'nécessaire', 'écologique', 'gouverne', 'zad']",1
"['excellent', 'décision', 'rejet', 'candidature', 'typ', 'dailleur', 'ami', 'jupiter', 'macron', 'x000d', 'x000d', 'député', 'sénateur', 'rejettent', 'nomination', 'candidat', 'proposer', 'lelyser', 'tête', 'lagence', 'écologique', 'francetvinfofrpolitiquele']",1
"['réussir', 'trouver', 'moment', 'écologique']",1
