mots,fréquence d'apparition en Février
nucléaire,33
énergie,30
france,27
électrique,27
ministre,23
projet,20
vert,19
prix,19
question,19
carbone,19
grand,18
politique,17
plan,17
central,17
mondial,17
milliard,17
production,15
entreprise,15
allemand,15
véhicule,15
guerre,15
public,15
climatique,15
fossile,15
pétrol,14
renouvelable,14
transitionenergetiqu,14
solaire,13
métal,13
groupe,13
allemagne,13
matière,12
climat,12
besoin,12
charbon,12
financer,12
accélérer,11
maroc,11
investissement,11
économie,11
moyen,11
éolien,11
minier,11
français,11
monde,11
chose,11
économique,11
défi,10
conseil,10
lier,10
deuro,10
rôle,10
savoir,10
pouvoir,10
vrai,10
écologique,10
temps,10
lallemagn,10
minerai,10
leurope,10
croissance,10
nouveau,10
loi,9
aurore,9
premier,9
poursuivre,9
venir,9
passer,9
société,9
industrie,9
émission,9
co2,9
stratégie,9
russe,9
lemondefreconomiearticle,9
président,9
nécessaire,9
soutenir,9
européen,9
congolais,9
million,8
cœur,8
québec,8
important,8
expert,8
fort,8
rdc,8
aller,8
payer,8
développement,8
année,8
produire,8
réussir,8
dénergie,8
batterie,8
commun,8
représenter,8
lemondefr,8
engager,8
délectricité,8
transport,8
participer,8
modèle,8
pétrolier,8
agnesrunacher,7
vent,7
organiser,7
cause,7
ds,7
utiliser,7
efficace,7
fin,7
marché,7
ressource,7
enjeux,7
impact,7
prendre,7
social,7
macron,7
santé,7
gouvernement,7
pourtant,7
total,7
dépense,7
source,7
continuer,7
environnement,7
financement,7
souhaiter,7
terme,7
demain,7
energetiqu,7
afrique,7
petit,6
miner,6
françois,6
soir,6
indispensable,6
manqu,6
unlock,6
ge,6
subvention,6
présenter,6
riche,6
youtub,6
pipedvideoshortswacszaqner,6
cours,6
accélèr,6
objectif,6
bataill,6
niveau,6
gros,6
ingénieur,6
cadre,6
coûter,6
conférence,6
mettre,6
électricité,6
stratégique,6
mois,6
défaire,6
mine,6
energie,6
pdg,6
devoir,6
bientôt,6
jouer,6
europe,6
investir,6
février,6
voir,6
construction,5
edf,5
daccord,5
dollar,5
faible,5
pannierrunacher,5
agnès,5
américain,5
investit,5
revenir,5
essentiel,5
retraite,5
thème,5
direct,5
délusion,5
durable,5
attendre,5
solution,5
compte,5
vision,5
réalité,5
donner,5
décarboner,5
hydrogène,5
réforme,5
autour,5
arriver,5
dépendre,5
futur,5
lénergie,5
acteur,5
moment,5
article,5
chin,5
préoccupation,5
vouloir,5
décarbonation,5
coût,5
loin,5
environnemental,5
partie,5
atteindre,5
assurer,5
comprendre,5
national,5
territoire,5
logement,5
eramet,5
discussion,5
lithium,5
penser,5
faveur,5
permettre,5
action,5
décision,5
voiture,5
devenir,5
sest,5
lélectricité,5
fédération,5
éviter,5
réponse,5
covid,5
quun,5
thermique,5
renforcer,4
génération,4
industriel,4
priver,4
sortir,4
avancer,4
ider,4
etatsunis,4
prochain,4
propre,4
technologie,4
partout,4
epr,4
travailler,4
quils,4
intérêt,4
filière,4
ferme,4
campagne,4
davoir,4
quotidien,4
retard,4
terre,4
réseau,4
débat,4
remplacer,4
échange,4
fonds,4
domaine,4
avenir,4
programm,4
recherche,4
consommation,4
thèm,4
lance,4
électrification,4
ancien,4
souveraineté,4
service,4
proposer,4
enedis,4
capital,4
usage,4
aujourdhui,4
voter,4
energy,4
lexploitation,4
influencer,4
lartisanat,4
technique,4
carbon,4
pm,4
legault,4
business,4
essayer,4
fiscal,4
taxer,4
appeler,4
achever,4
lancer,4
ville,4
investisseur,4
dautre,4
euro,4
actionnaire,4
mener,4
engagement,4
combustible,4
réform,4
tourner,4
citoyen,4
trouver,4
letat,4
wattsc,4
crise,4
proposition,4
artisanal,4
clé,4
mal,4
construire,4
totalenergie,4
plaisir,4
répondre,4
africain,4
enjeu,4
envoyer,4
truc,3
pollueur,3
parc,3
vietnam,3
dépenser,3
démocratique,3
perenco,3
enfant,3
affaire,3
encourager,3
davantage,3
profiter,3
fressoz,3
général,3
décarbonisation,3
argent,3
typ,3
membre,3
international,3
peuton,3
propagand,3
changement,3
emploi,3
russie,3
signifier,3
ukrain,3
raison,3
donne,3
libraction,3
zéro,3
directeur,3
humain,3
majeur,3
opportunité,3
lhomm,3
italien,3
mauvais,3
port,3
fameux,3
lemondefrideesarticle202,3
global,3
résumer,3
position,3
partager,3
budget,3
ambition,3
photovoltaïque,3
partenariat,3
oublier,3
poste,3
servir,3
dette,3
dégager,3
cabinet,3
ya,3
effectivement,3
prêt,3
superprofit,3
gw,3
regarder,3
augmenter,3
bp,3
émiettement,3
m,3
analyser,3
rapport,3
parler,3
potentiel,3
gestion,3
den,3
mobiliser,3
cour,3
relever,3
tribune,3
zerhubarbeblognet2023020,3
final,3
minière,3
profit,3
facile,3
dêtr,3
financier,3
problèm,3
bénéfice,3
large,3
gpsoseineouest,3
nécessiter,3
construir,3
cadr,3
arrêter,3
craindre,3
association,3
propriétaire,3
choisir,3
souligner,3
laisser,3
polqc,3
technologier,3
exister,3
panneal,3
rail,3
pétrole,3
impliquer,3
exceptionnel,3
aimer,3
compagnie,3
rêve,3
scientifique,3
lallemagne,3
pose,3
pollution,3
voix,3
changer,3
finir,3
fermer,3
partir,3
