mots,fréquence d'apparition en Janvier
ministre,58
énergie,56
nucléaire,30
france,29
entreprise,26
fossile,25
projet,24
financer,23
mettre,22
allemand,22
grand,22
électrique,21
développement,21
éolien,20
milliard,20
renouvelable,19
conférence,18
nouveau,18
production,18
politique,18
santé,16
durable,16
solaire,16
solution,16
pétrol,16
plan,16
écologique,15
besoin,15
macron,15
vert,15
climatique,15
français,15
proposer,14
électricité,14
prix,14
gouvernement,14
temps,14
climat,14
canader,14
allemagne,14
public,14
mondial,13
passer,13
matière,13
compte,13
voir,13
économique,12
retraite,12
edf,12
question,12
nécessaire,12
propre,12
co2,12
maire,11
lire,11
engager,11
accélérer,11
objectif,11
québec,11
venir,11
monde,11
jeune,11
agnesrunacher,10
lénergie,10
charbon,10
véhicule,10
consommation,10
stratégique,10
source,10
loi,10
investir,10
recherche,9
expliquer,9
problèm,9
financement,9
total,9
ministère,9
donner,9
terme,9
lobby,9
lallemagn,9
faire,9
année,9
batterie,9
société,9
pouvoir,9
europ,9
économie,9
développer,9
central,9
pétrolier,9
savoir,8
social,8
coup,8
dautre,8
ministèr,8
meilleur,8
rapport,8
leilarbenali,8
carbone,8
local,8
dernier,8
continuer,8
consommateur,8
service,8
industriel,8
ville,8
européen,8
gros,8
million,8
fin,8
créer,8
produire,8
modèle,8
réduire,8
comprendre,7
léducation,7
chin,7
regarder,7
emploi,7
bel,7
émission,7
soutenir,7
devenir,7
priorité,7
planèt,7
domaine,7
collaboration,7
payer,7
prendre,7
devoir,7
davo,7
maroc,7
dire,7
japonais,7
soutien,7
permettre,7
investissement,7
croire,7
étape,7
polqc,7
laid,7
secteur,7
critique,7
supplémentaire,7
industrie,7
système,7
presse,7
petit,6
vouloir,6
scénario,6
benali,6
appeler,6
voix,6
leila,6
cause,6
afrique,6
létat,6
olaf,6
ère,6
aider,6
assurer,6
augmenter,6
tweet,6
suite,6
président,6
falloir,6
scholz,6
faux,6
ue,6
opposer,6
mois,6
tourner,6
article,6
nom,6
leurope,6
national,6
réussir,6
changement,6
présenter,6
région,6
cas,6
lutte,6
présent,6
chose,6
prochain,6
francoallemand,6
actuel,6
condition,6
jour,6
energétiqu,6
hydrocarbure,5
commission,5
africain,5
borne,5
également,5
rdc,5
travail,5
marge,5
règn,5
