mots,fréquence d'apparition en Mars
ministre,48
énergie,45
france,43
nucléaire,40
projet,33
solaire,31
climatique,28
grand,26
métal,26
financer,22
milliard,19
public,19
écologique,19
vert,19
électrique,18
monde,18
besoin,18
transitionenergetiqu,18
plan,18
biden,18
économie,17
nouveau,16
accord,16
accélérer,16
investissement,16
éolien,15
entreprise,15
climat,15
temps,15
soutien,14
gouvernement,14
mondial,14
charbon,14
retraite,13
trouver,13
prendre,13
agnesrunacher,13
pannierrunacher,13
devenir,13
durable,12
futur,12
prix,12
utiliser,12
social,12
agnès,12
français,12
industrie,12
central,12
carbone,12
produire,12
question,12
rdc,12
politique,12
renouvelable,12
loi,12
der,11
von,11
cobalt,11
leyen,11
secteur,11
gagner,11
important,11
allemagne,11
fossile,11
moyen,11
falloir,11
québec,11
budget,11
recherche,11
critique,11
réchauffemer,11
nécessaire,10
président,10
transport,10
chose,10
développement,10
cours,10
faveur,10
terme,10
continuer,10
électricité,10
arriver,10
agir,10
macron,10
européen,10
cacher,10
modèle,10
lutte,10
réduire,10
solution,10
essentiel,10
citoyen,10
vie,9
minerai,9
acteur,9
fort,9
défi,9
passer,9
rapport,9
batterie,9
urgence,9
réforme,9
guerre,9
cas,9
métier,9
allemand,9
permettre,9
économique,9
actuel,9
dénergie,9
scénario,9
venir,9
numérique,9
risque,9
propre,8
voiture,8
savoir,8
écolo,8
pouvoir,8
partir,8
stratégie,8
aurore,8
lallemagn,8
national,8
matière,8
voir,8
energie,8
annoncer,8
ursula,8
vouloir,8
giec,8
devoir,8
lélectricité,8
consommation,8
bel,8
total,8
construire,8
parler,8
réseau,8
deuro,7
lemondefreconomiearticle,7
service,7
coût,7
exploitation,7
annonce,7
ue,7
lénergie,7
réussir,7
servir,7
revenir,7
inflation,7
colossal,7
vrai,7
financement,7
finance,7
partie,7
réduction,7
compte,7
energetiqu,7
véhicule,7
engie,7
soutenir,7
proposer,7
enjeu,7
mal,7
leader,7
viser,7
déficit,7
sûr,7
majeur,7
changement,7
regarder,7
ministère,7
rôle,7
dire,7
coopération,7
million,7
partout,7
rencontre,6
particuliersengiefrmonpr,6
engiepartfr,6
joe,6
intérêt,6
léolien,6
santé,6
pari,6
kiloact,6
jagisavecengie,6
promouvoir,6
monprogrammepouragir,6
dici,6
production,6
long,6
demain,6
mettre,6
campagne,6
répondre,6
partenariat,6
pétrole,6
système,6
céter,6
expliquer,6
région,6
histoire,6
mine,6
souhaiter,6
engagement,6
gagnant,6
protéger,6
capacité,6
jeune,6
latribunefrentreprisesfin,6
échange,6
mesure,6
faux,6
année,6
génération,6
débat,6
train,6
difficile,6
ménage,6
stratégique,6
industriel,6
afrique,6
technologie,6
population,6
programm,6
conférence,6
participer,6
donner,6
baser,6
unlock,6
américain,6
lithium,6
conséquence,5
minier,5
washington,5
gramme,5
aller,5
délétère,5
lire,5
dépense,5
impôt,5
vendredi,5
souveraineté,5
attendre,5
retard,5
femme,5
priorité,5
échec,5
fonds,5
réussite,5
atteindre,5
transition,5
concurrence,5
thermique,5
visite,5
contribuer,5
parc,5
mois,5
miner,5
environnement,5
ligne,5
fin,5
priver,5
dette,5
base,5
société,5
aider,5
impact,5
vague,5
co2,5
problèm,5
entendre,5
présent,5
verser,5
réaliser,5
commission,5
intérieur,5
lhydrogène,5
créer,5
situation,5
petit,5
domaine,5
nupe,5
opportunité,5
préférer,5
matin,5
adapter,5
accompagner,5
article,5
panneal,5
ne,5
travail,4
réalité,4
bordeaux,4
territoir,4
découvrir,4
europ,4
ministèr,4
cadr,4
massif,4
fédéral,4
contraire,4
changer,4
propos,4
signer,4
lalibrebeeconomieconjonct,4
argument,4
penser,4
nuke,4
source,4
justice,4
décarbonation,4
commun,4
polqc,4
pétrolier,4
assurer,4
prise,4
vidéo,4
europe,4
caq,4
lier,4
donne,4
construction,4
réel,4
premier,4
jouer,4
affaire,4
salaire,4
t,4
meilleur,4
historique,4
classe,4
utile,4
pénurie,4
défendre,4
territoire,4
irréalisable,4
événement,4
local,4
organiser,4
salle,4
majorité,4
dépendance,4
relation,4
élu,4
groupe,4
innovation,4
chin,4
intelligent,4
engager,4
poursuivre,4
super,4
thèm,4
actuellement,4
consultation,4
accueillir,4
sil,4
commencer,4
sobriété,4
nom,4
action,4
renforcer,4
extraire,4
communiquer,4
pétrol,4
commercial,4
thread,4
éviter,4
agricole,4
ukrain,4
prochain,4
travailler,4
bitcoin,4
peuple,4
alternance,4
recrutement,4
efficace,4
enjeux,4
bloquer,4
nécessiter,4
verte,4
transitionenergétiqu,4
crédit,4
porter,4
favoriser,4
déchet,4
occasion,4
Monsieur,4
constituer,4
écologie,4
arrêter,4
sobriéter,4
leparisienfrparis75greve,4
réserve,4
cgp,4
aéroport,4
filière,4
mer,4
intéressant,4
changemer,4
tenir,4
dernier,4
lon,4
justement,4
fabrication,4
rénovation,4
relocalisation,4
monsieur,4
client,4
cap,4
voter,4
environnemental,4
discuter,4
russie,4
connaître,4
emmanuel,4
libéral,4
texte,4
sortir,4
écouter,4
objectif,4
payer,4
emploi,4
réunion,4
plaisir,4
bâtiment,4
banque,4
us,4
stéphant,4
électrification,4
clé,4
poitier,4
forcément,4
greenpeac,4
correspond,3
financier,3
aujourdhui,3
user,3
menu,3
minéral,3
libre,3
transformation,3
qc,3
conseil,3
leurope,3
importer,3
député,3
manqu,3
rassembler,3
icicarecrut,3
cdi,3
job,3
envie,3
dagir,3
installer,3
animonslemond,3
considérer,3
vent,3
baiss,3
présenter,3
pourvoir,3
prévoir,3
lemondefr,3
con,3
étape,3
profiter,3
caronaymericoff,3
modeste,3
carburant,3
commune,3
crucial,3
choix,3
lextraction,3
canader,3
inutile,3
affirmer,3
crédible,3
optimiste,3
fondamental,3
charger,3
moteur,3
quil,3
estimer,3
acquérir,3
signant,3
rte,3
crise,3
nickel,3
fond,3
cœur,3
indiquer,3
lallemagne,3
imbécile,3
sagit,3
freuronewscom20230311,3
dêtr,3
demander,3
samedi,3
détail,3
nomandi,3
trendslevifbeopinionschr,3
territorial,3
programmer,3
key,3
lîledefrance,3
contrôle,3
blanc,3
kérosèn,3
edf,3
marché,3
autoroute,3
détient,3
lapprovisionnement,3
vite,3
bus,3
gvt,3
déviter,3
chèqu,3
