Date,Thème,Compound
2023-04-02,"Énergie solaire et éolienne, politiques et réglementations",0.2942
2023-04-02,Énergies renouvelables et croissance économique,0.2268
2023-04-03,Enjeux du nucléaire et besoin de réduction d'énergie,0.8189333333333333
2023-04-03,"Énergie solaire et éolienne, politiques et réglementations",0.6703
2023-04-03,Énergies renouvelables et croissance économique,-0.34
2023-04-04,"Énergie solaire et éolienne, politiques et réglementations",0.40386666666666665
2023-04-04,Énergies renouvelables et croissance économique,0.1511
2023-04-05,"Énergie solaire et éolienne, politiques et réglementations",0.7783
2023-04-06,Enjeux du nucléaire et besoin de réduction d'énergie,0.3164
2023-04-06,"Énergie solaire et éolienne, politiques et réglementations",0.8442
2023-04-06,Énergies renouvelables et croissance économique,0.5901
2023-04-08,"Énergie solaire et éolienne, politiques et réglementations",0.5912
2023-04-08,Énergies renouvelables et croissance économique,0.6372666666666666
2023-04-10,Énergies renouvelables et croissance économique,0.5495
2023-04-11,Enjeux du nucléaire et besoin de réduction d'énergie,0.6884
2023-04-11,"Énergie solaire et éolienne, politiques et réglementations",0.7506
2023-04-11,Énergies renouvelables et croissance économique,0.8064
2023-04-12,"Énergie solaire et éolienne, politiques et réglementations",0.49829999999999997
2023-04-12,Énergies renouvelables et croissance économique,-0.02510000000000001
2023-04-13,Enjeux du nucléaire et besoin de réduction d'énergie,0.4926
2023-04-13,"Énergie solaire et éolienne, politiques et réglementations",0.783
2023-04-13,Énergies renouvelables et croissance économique,0.2931333333333333
2023-04-14,"Énergie solaire et éolienne, politiques et réglementations",0.7269
2023-04-14,Énergies renouvelables et croissance économique,-0.16770000000000002
2023-04-15,Enjeux du nucléaire et besoin de réduction d'énergie,0.15775000000000003
2023-04-15,Énergies renouvelables et croissance économique,-0.1531
2023-04-16,Énergies renouvelables et croissance économique,0.2023
2023-04-18,"Énergie solaire et éolienne, politiques et réglementations",-0.1281
2023-04-18,Énergies renouvelables et croissance économique,-0.1284
2023-04-19,"Énergie solaire et éolienne, politiques et réglementations",0.7552
2023-04-19,Énergies renouvelables et croissance économique,0.80905
2023-04-20,Enjeux du nucléaire et besoin de réduction d'énergie,0.7856
2023-04-20,"Énergie solaire et éolienne, politiques et réglementations",-0.8924
2023-04-20,Énergies renouvelables et croissance économique,0.254
2023-04-22,Enjeux du nucléaire et besoin de réduction d'énergie,0.3806
2023-04-22,"Énergie solaire et éolienne, politiques et réglementations",0.5994
2023-04-22,Énergies renouvelables et croissance économique,0.056999999999999995
