Date,Thème,Compound
2023-02-02,Énergies renouvelables et croissance économique,0.3188
2023-02-03,Enjeux du nucléaire et besoin de réduction d'énergie,0.7891
2023-02-03,"Énergie solaire et éolienne, politiques et réglementations",0.8172
2023-02-03,Énergies renouvelables et croissance économique,0.5862
2023-02-04,"Énergie solaire et éolienne, politiques et réglementations",0.6249
2023-02-04,Énergies renouvelables et croissance économique,0.2523
2023-02-05,Énergies renouvelables et croissance économique,0.2023
2023-02-06,"Énergie solaire et éolienne, politiques et réglementations",0.4767
2023-02-06,Énergies renouvelables et croissance économique,0.3538
2023-02-07,Enjeux du nucléaire et besoin de réduction d'énergie,-0.1986
2023-02-07,Énergies renouvelables et croissance économique,0.6322
2023-02-08,"Énergie solaire et éolienne, politiques et réglementations",0.5586
2023-02-08,Énergies renouvelables et croissance économique,0.5608666666666667
2023-02-09,Énergies renouvelables et croissance économique,0.4536142857142857
2023-02-10,Énergies renouvelables et croissance économique,0.7106
2023-02-11,Énergies renouvelables et croissance économique,0.755
2023-02-12,Enjeux du nucléaire et besoin de réduction d'énergie,0.8164
2023-02-12,"Énergie solaire et éolienne, politiques et réglementations",-0.2862
2023-02-12,Énergies renouvelables et croissance économique,0.5131333333333333
2023-02-13,Énergies renouvelables et croissance économique,0.57
2023-02-14,Enjeux du nucléaire et besoin de réduction d'énergie,0.6136
2023-02-14,Énergies renouvelables et croissance économique,0.4404
2023-02-15,"Énergie solaire et éolienne, politiques et réglementations",0.78605
2023-02-15,Énergies renouvelables et croissance économique,0.3424333333333333
2023-02-16,Énergies renouvelables et croissance économique,0.10692499999999998
2023-02-17,"Énergie solaire et éolienne, politiques et réglementations",0.5271
2023-02-17,Énergies renouvelables et croissance économique,0.55015
2023-02-18,Énergies renouvelables et croissance économique,0.5423
2023-02-19,"Énergie solaire et éolienne, politiques et réglementations",0.4404
2023-02-19,Énergies renouvelables et croissance économique,0.34962499999999996
2023-02-20,Énergies renouvelables et croissance économique,0.40956666666666663
2023-02-21,Énergies renouvelables et croissance économique,0.39459999999999995
2023-02-22,Enjeux du nucléaire et besoin de réduction d'énergie,0.6460999999999999
2023-02-22,Énergies renouvelables et croissance économique,0.5639
2023-02-23,"Énergie solaire et éolienne, politiques et réglementations",-0.5849
2023-02-23,Énergies renouvelables et croissance économique,0.4665
2023-02-24,Énergies renouvelables et croissance économique,0.24495
2023-02-25,Enjeux du nucléaire et besoin de réduction d'énergie,-0.2589
2023-02-25,Énergies renouvelables et croissance économique,0.339325
2023-02-26,"Énergie solaire et éolienne, politiques et réglementations",0.7237
2023-02-26,Énergies renouvelables et croissance économique,0.442575
2023-02-27,"Énergie solaire et éolienne, politiques et réglementations",0.7674333333333334
2023-02-27,Énergies renouvelables et croissance économique,0.4982
2023-02-28,"Énergie solaire et éolienne, politiques et réglementations",0.2263
