Date,Thème,Compound
2023-01-02,"Énergie solaire et éolienne, politiques et réglementations",0.4926
2023-01-02,Énergies renouvelables et croissance économique,0.3445
2023-01-03,Énergies renouvelables et croissance économique,0.3786333333333333
2023-01-04,Enjeux du nucléaire et besoin de réduction d'énergie,0.05076666666666666
2023-01-05,Enjeux du nucléaire et besoin de réduction d'énergie,0.0258
2023-01-05,"Énergie solaire et éolienne, politiques et réglementations",0.6528
2023-01-06,Enjeux du nucléaire et besoin de réduction d'énergie,0.05735000000000001
2023-01-06,"Énergie solaire et éolienne, politiques et réglementations",0.53505
2023-01-06,Énergies renouvelables et croissance économique,0.9001
2023-01-07,Énergies renouvelables et croissance économique,0.2739333333333333
2023-01-08,Enjeux du nucléaire et besoin de réduction d'énergie,0.4404
2023-01-08,"Énergie solaire et éolienne, politiques et réglementations",0.023533333333333333
2023-01-08,Énergies renouvelables et croissance économique,0.6790333333333334
2023-01-09,Enjeux du nucléaire et besoin de réduction d'énergie,0.8172
2023-01-09,Énergies renouvelables et croissance économique,0.4592
2023-01-10,Énergies renouvelables et croissance économique,0.491125
2023-01-11,"Énergie solaire et éolienne, politiques et réglementations",0.7633
2023-01-11,Énergies renouvelables et croissance économique,-0.1531
2023-01-12,"Énergie solaire et éolienne, politiques et réglementations",0.3282
2023-01-13,"Énergie solaire et éolienne, politiques et réglementations",-0.03449999999999999
2023-01-13,Énergies renouvelables et croissance économique,0.4019
2023-01-14,"Énergie solaire et éolienne, politiques et réglementations",0.5707
2023-01-15,Enjeux du nucléaire et besoin de réduction d'énergie,0.9095
2023-01-15,Énergies renouvelables et croissance économique,0.9199
2023-01-16,"Énergie solaire et éolienne, politiques et réglementations",-0.4019
2023-01-16,Énergies renouvelables et croissance économique,0.16143333333333335
2023-01-17,Énergies renouvelables et croissance économique,0.5684
2023-01-19,Enjeux du nucléaire et besoin de réduction d'énergie,0.7777
2023-01-19,"Énergie solaire et éolienne, politiques et réglementations",0.5785
2023-01-19,Énergies renouvelables et croissance économique,0.8165
2023-01-20,"Énergie solaire et éolienne, politiques et réglementations",0.8079
2023-01-21,"Énergie solaire et éolienne, politiques et réglementations",0.5983
2023-01-21,Énergies renouvelables et croissance économique,0.6389
2023-01-22,Énergies renouvelables et croissance économique,0.41455
2023-01-23,"Énergie solaire et éolienne, politiques et réglementations",0.5284666666666666
2023-01-23,Énergies renouvelables et croissance économique,0.3501666666666667
2023-01-24,"Énergie solaire et éolienne, politiques et réglementations",0.8003
2023-01-24,Énergies renouvelables et croissance économique,0.27855
2023-01-25,"Énergie solaire et éolienne, politiques et réglementations",0.5126
2023-01-25,Énergies renouvelables et croissance économique,0.703425
2023-01-26,"Énergie solaire et éolienne, politiques et réglementations",0.136875
2023-01-26,Énergies renouvelables et croissance économique,0.6963
2023-01-27,"Énergie solaire et éolienne, politiques et réglementations",0.8025
2023-01-28,Enjeux du nucléaire et besoin de réduction d'énergie,0.8011
2023-01-28,Énergies renouvelables et croissance économique,0.55845
2023-01-29,"Énergie solaire et éolienne, politiques et réglementations",0.11385
2023-01-29,Énergies renouvelables et croissance économique,0.71675
2023-01-30,"Énergie solaire et éolienne, politiques et réglementations",0.0516
2023-01-30,Énergies renouvelables et croissance économique,0.61535
2023-01-31,Énergies renouvelables et croissance économique,0.3342
