Content,Date,Compound,Sentiment,Thème
"Vœux 2023: le Président de l’exécutif de la CTM exhorte à l’unité et à la fin du « nèg cont’ nèg».

Il parle aussi d’innovation, d’autonomie alimentaire et de transition énergétique.

Un programme ambitieux.
Je souhaite pour la Martinique, que collectivement, nous y parviendrons.",2023-01-01,0.8011,Positif,Énergies renouvelables et croissance économique
"Ceux qui ont décidé des objectifs en terme de véhicule électrique sont aussi ceux qui ont organisé la ""transition énergetique"", c'est-à-dire dire remplacer les centrales atomiques fermées par des centrales au gaz. Ces gens sont au mieux incompétents au pire des bandits.",2023-01-01,-0.25,Negatif,Émissions de CO2 et transition énergétique
"Notre transition énergétique, nous l'avons faite il y a 50 ans avec le plan Messmer. Ca marchait très bien, mais Hollande, puis Macron sont arrivés ...",2023-01-01,0.5987,Positif,Plan d'investissement industriel
"""La France a réduit la part de l'électricité produite par le nucléaire dans son mix énergétique. Selon la loi de transition énergétique, le pays s'est fixé pour objectif de réduire la part de l'électricité produite par le nucléaire de 75% à 50% d'ici à 2025. We are fucked...",2023-01-01,0.9229,Positif,Enjeux du nucléaire et besoin de réduction d'énergie
Tres bonne année et #IESF à  bientôt sur l'antenne pour parler penurie dectalents fille et de transition énergétique,2023-01-01,0.69,Positif,Énergies renouvelables et croissance économique
On s'en fou de ta transition énergétique ! Arrêtez de faire peur aux gens pour mieux les appauvrir et les contrôler !!!,2023-01-01,0.7067,Positif,Développement de la production d'énergie et réglementations européennes
"Excellente prod avec le meilleur casting😉🤡, 
à voir absolument pour comprendre la transition énergétique en marche😘
🌻🍃🌞🤝🏭🖤💰",2023-01-01,0.9274,Positif,Développement de la production d'énergie et réglementations européennes
"Je crois que l’agenda de la secte du grand Reset est à l’eau, la crise pandémique était l’opportunité d’y faire entrer tout le monde , ils ont carrément échoué ont verra avec leur deuxième étape « la crise climatique » et la transition énergétique . Je crois que c’est raté aussi.",2023-01-01,-0.7717,Negatif,Enjeux énergétiques mondiaux et financement de la transition
"Éolien offshore à Oléron. La ministre de la transition énergétique a t’elle passé outre les directives européennes Natura 2000 ? aunistv.fr/eolien-offshore-a… 

Que d'étourderies 😏 pour l'anémo-électrique
(les diacritiques européennes ⌨️🎼↗️ a)",2023-01-01,0.7074,Positif,Développement de la production d'énergie et réglementations européennes
Enfin ce n’est pas une surprise. Ça fait deux trois ans que nous sommes nombreux à le dire. C’est d’ailleurs le sens de la transition énergétique UE : remplacer le charbon par du gaz (russe) et des ENRI dont l’éolien. La France de Hollande qui se soumet à l’UE ensuite.,2023-01-01,0.5277,Positif,Développement de la production d'énergie et réglementations européennes
"En fait il mélange je crois deux notions "" la transition énergétique "" et "" la transition écologique """,2023-01-01,0.4404,Positif,Développement de la production d'énergie et réglementations européennes
"_xDCA1__xD83D_ Pour profiter au mieux de la transition #énergétique et anticiper les inévitables changements de mode de consommation, moderniser votre #domicile semble être une bonne chose à faire. Afin de rendre certains usages plus pratiques et de les (...) safti.apibots.io/contents/10…",2023-01-01,0.7965,Positif,Émissions de CO2 et transition énergétique
"Cet homme compte électrifier l'industrie et les transports avec une électricité décarbonée, pendant que les écolos continuent de promouvoir le gaz pour assurer ""la transition énergétique"".",2023-01-01,0.7351,Positif,Économie française et recherche en énergie.
"Urbanisme, transition énergétique : l'Union des rivages de la Touques expose ses préoccupations",2023-01-01,0.3818,Positif,Développement de la production d'énergie et réglementations européennes
"Question pas très maline. La transition énergétique doit être faite, reste à savoir comment et à quel rythme.",2023-01-01,0.4404,Positif,Développement de la production d'énergie et réglementations européennes
Une bonne nouvelle pour la nouvelle année et pour la transition énergétique dans notre pays,2023-01-01,0.6249,Positif,Développement de la production d'énergie et réglementations européennes
