Date,Compound,Thème Écologique
2023-01-01,-0.0271,Soutien et financement de projets écologiques
2023-01-01,-0.0752,Agricultures et politiques environnementales
2023-01-01,-0.453,Énergie et économie vers une société écologique
2023-01-01,0.1779,Soutien et financement de projets écologiques
2023-01-01,0.7872,Politiques environnementales et écologiques du gouvernement français
2023-01-01,-0.9498,Politiques environnementales et écologiques du gouvernement français
2023-01-01,-0.7096,Énergie et économie vers une société écologique
2023-01-01,0.3382,Politiques environnementales et écologiques du gouvernement français
2023-01-01,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-02,0.0,Soutien et financement de projets écologiques
2023-01-02,0.5709,Soutien et financement de projets écologiques
2023-01-02,0.4003,Politiques environnementales et écologiques du gouvernement français
2023-01-02,-0.6996,Politiques environnementales et écologiques du gouvernement français
2023-01-02,-0.0377,Politiques environnementales et écologiques du gouvernement français
2023-01-02,0.0,Soutien et financement de projets écologiques
2023-01-02,0.1027,Politiques environnementales et écologiques du gouvernement français
2023-01-02,-0.0271,Agricultures et politiques environnementales
2023-01-02,0.126,Soutien et financement de projets écologiques
2023-01-02,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-02,0.4257,Agricultures et politiques environnementales
2023-01-02,0.1027,Politiques environnementales et écologiques du gouvernement français
2023-01-02,-0.4753,Soutien et financement de projets écologiques
2023-01-02,0.2732,Agricultures et politiques environnementales
2023-01-03,0.7177,Politiques environnementales et écologiques du gouvernement français
2023-01-03,0.3417,Soutien et financement de projets écologiques
2023-01-03,-0.4199,Énergie et économie vers une société écologique
2023-01-03,0.6486,Soutien et financement de projets écologiques
2023-01-03,0.6553,Politiques environnementales et écologiques du gouvernement français
2023-01-03,0.4404,Collectivités territoriales et développement durable
2023-01-03,0.25,Agricultures et politiques environnementales
2023-01-03,0.1027,Politiques environnementales et écologiques du gouvernement français
2023-01-03,-0.0552,Soutien et financement de projets écologiques
2023-01-03,0.0,Collectivités territoriales et développement durable
2023-01-03,0.3975,Soutien et financement de projets écologiques
2023-01-03,0.0,Soutien et financement de projets écologiques
2023-01-03,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-03,-0.0811,Politiques environnementales et écologiques du gouvernement français
2023-01-04,-0.4482,Soutien et financement de projets écologiques
2023-01-04,-0.7258,Agricultures et politiques environnementales
2023-01-04,0.25,Politiques environnementales et écologiques du gouvernement français
2023-01-04,0.4228,Agricultures et politiques environnementales
2023-01-04,0.0,Soutien et financement de projets écologiques
2023-01-04,-0.5684,Soutien et financement de projets écologiques
2023-01-04,-0.3612,Politiques environnementales et écologiques du gouvernement français
2023-01-04,0.4588,Soutien et financement de projets écologiques
2023-01-04,0.0516,Politiques environnementales et écologiques du gouvernement français
2023-01-04,0.1027,Énergie et économie vers une société écologique
2023-01-04,-0.6369,Politiques environnementales et écologiques du gouvernement français
2023-01-04,-0.0271,Soutien et financement de projets écologiques
2023-01-05,0.4215,Politiques environnementales et écologiques du gouvernement français
2023-01-05,0.7907,Collectivités territoriales et développement durable
2023-01-05,0.3182,Agricultures et politiques environnementales
2023-01-05,0.7006,Politiques environnementales et écologiques du gouvernement français
2023-01-05,0.4019,Soutien et financement de projets écologiques
2023-01-05,0.4588,Collectivités territoriales et développement durable
2023-01-05,0.4003,Politiques environnementales et écologiques du gouvernement français
2023-01-05,0.4423,Soutien et financement de projets écologiques
2023-01-05,0.1984,Énergie et économie vers une société écologique
2023-01-05,0.5574,Politiques environnementales et écologiques du gouvernement français
