Date,Compound,Thème Énergétique
2023-01-01,-0.0271,"Énergie solaire, éolienne en France et dans le monde"
2023-01-01,-0.453,Politique énergétique et environnementale
2023-01-01,0.1779,Politique énergétique en Allemagne
2023-01-01,-0.1531,Politique énergétique en Allemagne
2023-01-01,0.7891,Emploi et dynamique économique
2023-01-01,0.7872,Politique énergétique et environnementale
2023-01-01,-0.9498,Emploi et dynamique économique
2023-01-01,-0.7096,Politique énergétique en Allemagne
2023-01-01,0.4404,Politique énergétique et environnementale
2023-01-01,0.0,"Énergie solaire, éolienne en France et dans le monde"
2023-01-01,-0.5255,"Énergie solaire, éolienne en France et dans le monde"
2023-01-01,0.7988,Emploi et dynamique économique
2023-01-01,-0.6753,"Énergie solaire, éolienne en France et dans le monde"
2023-01-01,0.0,"Énergie solaire, éolienne en France et dans le monde"
2023-01-02,0.0,Politique énergétique et environnementale
2023-01-02,-0.6996,"Énergie solaire, éolienne en France et dans le monde"
2023-01-02,0.1027,Emploi et dynamique économique
2023-01-02,-0.0271,Innovation dans le secteur de l'énergie
2023-01-02,-0.5562,Politique énergétique et environnementale
2023-01-02,0.0,Emploi et dynamique économique
2023-01-02,0.0,Innovation dans le secteur de l'énergie
2023-01-02,0.4257,Innovation dans le secteur de l'énergie
2023-01-02,0.2732,Innovation dans le secteur de l'énergie
2023-01-02,-0.4601,Politique énergétique en Allemagne
2023-01-03,0.7177,Emploi et dynamique économique
2023-01-03,-0.4199,Emploi et dynamique économique
2023-01-03,0.6486,Politique énergétique en Allemagne
2023-01-03,0.6553,Emploi et dynamique économique
2023-01-03,0.3616,"Énergie solaire, éolienne en France et dans le monde"
2023-01-03,0.1027,Emploi et dynamique économique
2023-01-03,0.0,Innovation dans le secteur de l'énergie
2023-01-03,-0.0811,Innovation dans le secteur de l'énergie
2023-01-03,0.0,"Énergie solaire, éolienne en France et dans le monde"
2023-01-04,-0.7258,Politique énergétique et environnementale
2023-01-04,0.25,Politique énergétique en Allemagne
2023-01-04,0.4228,Politique énergétique et environnementale
2023-01-04,-0.5684,Politique énergétique et environnementale
2023-01-04,-0.128,Politique énergétique et environnementale
2023-01-04,-0.3612,"Énergie solaire, éolienne en France et dans le monde"
2023-01-04,0.0516,Politique énergétique et environnementale
2023-01-04,-0.0485,Politique énergétique en Allemagne
2023-01-04,0.4926,Emploi et dynamique économique
2023-01-04,0.1027,Politique énergétique en Allemagne
2023-01-04,0.128,Politique énergétique en Allemagne
2023-01-04,-0.0271,"Énergie solaire, éolienne en France et dans le monde"
2023-01-04,-0.3561,Innovation dans le secteur de l'énergie
2023-01-05,0.4215,"Énergie solaire, éolienne en France et dans le monde"
2023-01-05,0.3182,"Énergie solaire, éolienne en France et dans le monde"
2023-01-05,0.6159,Emploi et dynamique économique
2023-01-05,-0.5848,Emploi et dynamique économique
2023-01-05,0.7006,Emploi et dynamique économique
2023-01-05,0.5106,Emploi et dynamique économique
2023-01-05,0.4588,Innovation dans le secteur de l'énergie
2023-01-05,0.4003,Emploi et dynamique économique
2023-01-05,0.4423,Politique énergétique et environnementale
2023-01-05,0.5574,Emploi et dynamique économique
2023-01-05,-0.1007,"Énergie solaire, éolienne en France et dans le monde"
2023-01-05,0.0,"Énergie solaire, éolienne en France et dans le monde"
2023-01-06,0.7156,Emploi et dynamique économique
2023-01-06,0.0,Innovation dans le secteur de l'énergie
2023-01-06,0.0,Emploi et dynamique économique
2023-01-06,0.6696,Politique énergétique en Allemagne
2023-01-06,-0.1027,Emploi et dynamique économique
2023-01-06,0.6792,Emploi et dynamique économique
2023-01-06,-0.5707,Politique énergétique et environnementale
2023-01-06,0.8856,Politique énergétique en Allemagne
2023-01-06,0.0,Emploi et dynamique économique
2023-01-06,0.1027,Emploi et dynamique économique
2023-01-06,0.8172,Emploi et dynamique économique
2023-01-06,0.1779,Politique énergétique en Allemagne
