Content,Date,Jour,Mois,Année,Utilisateur,Thème,Score,Compound,Sentiment,Mentions principales
"Vœux 2023: le Président de l’exécutif de la CTM exhorte à l’unité et à la fin du « nèg cont’ nèg».

Il parle aussi d’innovation, d’autonomie alimentaire et de transition énergétique.

Un programme ambitieux.
Je souhaite pour la Martinique, que collectivement, nous y parviendrons.",2023-01-01,1,1,2023,Prisci,,"{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.8011}",0.8011,Positif,[]
"Ceux qui ont décidé des objectifs en terme de véhicule électrique sont aussi ceux qui ont organisé la ""transition énergetique"", c'est-à-dire dire remplacer les centrales atomiques fermées par des centrales au gaz. Ces gens sont au mieux incompétents au pire des bandits.",2023-01-01,1,1,2023,Philippe 🕊☢️,,"{'neg': 0.123, 'neu': 0.774, 'pos': 0.103, 'compound': -0.25}",-0.25,Negatif,"['électrique', 'objectif']"
"Notre transition énergétique, nous l'avons faite il y a 50 ans avec le plan Messmer. Ca marchait très bien, mais Hollande, puis Macron sont arrivés ...",2023-01-01,1,1,2023,Marc Le Terrien,,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5987}",0.5987,Positif,['plan']
"""La France a réduit la part de l'électricité produite par le nucléaire dans son mix énergétique. Selon la loi de transition énergétique, le pays s'est fixé pour objectif de réduire la part de l'électricité produite par le nucléaire de 75% à 50% d'ici à 2025. We are fucked...",2023-01-01,1,1,2023,VIV,,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.9229}",0.9229,Positif,"['nucléaire', 'électricité', 'objectif']"
Tres bonne année et #IESF à  bientôt sur l'antenne pour parler penurie dectalents fille et de transition énergétique,2023-01-01,1,1,2023,Marc Rumeau,,"{'neg': 0.061, 'neu': 0.656, 'pos': 0.283, 'compound': 0.69}",0.69,Positif,[]
On s'en fou de ta transition énergétique ! Arrêtez de faire peur aux gens pour mieux les appauvrir et les contrôler !!!,2023-01-01,1,1,2023,"Mice 🇨🇵🥃x5 🌡️37,5°",,"{'neg': 0.146, 'neu': 0.577, 'pos': 0.277, 'compound': 0.7067}",0.7067,Positif,[]
"Excellente prod avec le meilleur casting😉🤡, 
à voir absolument pour comprendre la transition énergétique en marche😘
🌻🍃🌞🤝🏭🖤💰",2023-01-01,1,1,2023,nonobzh,,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.9274}",0.9274,Positif,[]
"Je crois que l’agenda de la secte du grand Reset est à l’eau, la crise pandémique était l’opportunité d’y faire entrer tout le monde , ils ont carrément échoué ont verra avec leur deuxième étape « la crise climatique » et la transition énergétique . Je crois que c’est raté aussi.",2023-01-01,1,1,2023,Johanne brûler,,"{'neg': 0.161, 'neu': 0.79, 'pos': 0.049, 'compound': -0.7717}",-0.7717,Negatif,"['climat', 'monde']"
"Éolien offshore à Oléron. La ministre de la transition énergétique a t’elle passé outre les directives européennes Natura 2000 ? aunistv.fr/eolien-offshore-a… 

Que d'étourderies 😏 pour l'anémo-électrique
(les diacritiques européennes ⌨️🎼↗️ a)",2023-01-01,1,1,2023,chris dabin,,"{'neg': 0.093, 'neu': 0.724, 'pos': 0.183, 'compound': 0.7074}",0.7074,Positif,"['ministre', 'électrique']"
Enfin ce n’est pas une surprise. Ça fait deux trois ans que nous sommes nombreux à le dire. C’est d’ailleurs le sens de la transition énergétique UE : remplacer le charbon par du gaz (russe) et des ENRI dont l’éolien. La France de Hollande qui se soumet à l’UE ensuite.,2023-01-01,1,1,2023,Arnaud Petit,,"{'neg': 0.026, 'neu': 0.918, 'pos': 0.055, 'compound': 0.5277}",0.5277,Positif,"['éolien', 'charbon']"
"En fait il mélange je crois deux notions "" la transition énergétique "" et "" la transition écologique """,2023-01-01,1,1,2023,Olivier Antoine Cald,,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4404}",0.4404,Positif,['écologique']
"_xDCA1__xD83D_ Pour profiter au mieux de la transition #énergétique et anticiper les inévitables changements de mode de consommation, moderniser votre #domicile semble être une bonne chose à faire. Afin de rendre certains usages plus pratiques et de les (...) safti.apibots.io/contents/10…",2023-01-01,1,1,2023,Pascale Cherdo SAFTI,,"{'neg': 0.06, 'neu': 0.679, 'pos': 0.261, 'compound': 0.7965}",0.7965,Positif,['consommation']
"Cet homme compte électrifier l'industrie et les transports avec une électricité décarbonée, pendant que les écolos continuent de promouvoir le gaz pour assurer ""la transition énergétique"".",2023-01-01,1,1,2023,Baphomet,,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.7351}",0.7351,Positif,['électricité']
"Urbanisme, transition énergétique : l'Union des rivages de la Touques expose ses préoccupations",2023-01-01,1,1,2023,MR marcel,,"{'neg': 0.08, 'neu': 0.741, 'pos': 0.179, 'compound': 0.3818}",0.3818,Positif,[]
"Question pas très maline. La transition énergétique doit être faite, reste à savoir comment et à quel rythme.",2023-01-01,1,1,2023,Gwenaël 😎✈️,,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4404}",0.4404,Positif,[]
