Content,Date,Jour,Mois,Année,Utilisateur,Thème,Score,Compound,Sentiment,Mentions principales
"Alors que le monde entier parle de la transition énergétique, du réchauffement climatique, de l'intelligence artificielle , en RDC, on continue à parler de congolité, du clash entre Fally et Gims, du tabassage de Mr Christian Bosenge...Et vous voulez qu'on vous respecte !",2023-04-02,2,4,2023,Jean Baptiste Bokoto,,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.8173}",0.8173,Positif,"['climat', 'monde']"
"C'est surtout que si l'on peut faire autrement, pourquoi détruire 700 ha de forêts sur cette montagne?
La transition énergétique ne doit pas se faire n'importe où, n'importe comment, et pas au détriment de la nature et de la biodiversité.
QUI pr y veiller?",2023-04-02,2,4,2023,Sauvegarde Paysages d'Iroise,,"{'neg': 0.064, 'neu': 0.767, 'pos': 0.169, 'compound': 0.4682}",0.4682,Positif,[]
"Gros défis! La politique environnementale de la Chine oscille entre les extrêmes. Il y a aussi des chantiers majeurs pour opérer la transition énergétique. Mais la probabilité de voir des scientifiques choisir ce type d’action directe là-bas est faible, disons.",2023-04-02,2,4,2023,Chloé Sondervorst,,"{'neg': 0.064, 'neu': 0.822, 'pos': 0.113, 'compound': 0.2942}",0.2942,Positif,['politique']
"Comment faire pour que des populations de #RDC ne payent pas le prix de notre transition énergétique ? Commencer par faire appliquer le code minier pardi! #Reportage sans concession ""les damnés du cobalt"" @EnvoyeSpecial: france.tv/france-2/envoye-sp…
#mine, #cobalt et #developpement",2023-04-02,2,4,2023,Reevolution Productions,,"{'neg': 0.059, 'neu': 0.768, 'pos': 0.173, 'compound': 0.6669}",0.6669,Positif,"['france', 'prix']"
L'eolienne est un électricité très cher et fortement imprévisible. Elles ne donnent leur pleine puissance que quand le vent souffle entre 50 et 90kms/h ! Elles ont défiguré notre pays et permis à des politiciens corrompus de s'enrichir sur le mensonge de la transition énergétique,2023-04-02,2,4,2023,Celestino,,"{'neg': 0.037, 'neu': 0.75, 'pos': 0.213, 'compound': 0.8377}",0.8377,Positif,['électricité']
"« La République démocratique du Congo recèle la plus importante réserve mondiale en cobalt, un minerai crucial à la transition énergétique mondiale. » sans le cobalt ton iPhone n’existe pas.",2023-04-02,2,4,2023,mina,,"{'neg': 0.04, 'neu': 0.87, 'pos': 0.09, 'compound': 0.3826}",0.3826,Positif,['mondial']
"Les pays du golf jouent a un jeu dangereux, ça va inciter le reste du monde a accélérer la transition énergétique, avec l'hydro et le nucléaire, donc a termes détruire leur économie...",2023-04-02,2,4,2023,Estaw,,"{'neg': 0.224, 'neu': 0.66, 'pos': 0.116, 'compound': -0.6818}",-0.6818,Negatif,"['nucléaire', 'économie', 'accélérer', 'monde']"
"Mais pour la transition énergétique il faut du pétrole.
🤷🏾‍♂️",2023-04-02,2,4,2023,Nation Indépendante,,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.4404,Positif,['pétrole']
"Logique, cela fait partie intégrante de l'agenda 2030 de Davos et des mondialistes qui ont pour objectif le grand reset, la transition énergétique, la monnaie électronique et le transhumanisme au programme, bienvenu dans cette fin des temps annoncée.",2023-04-02,2,4,2023,Jacques Hicham,,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.7345}",0.7345,Positif,"['temps', 'mondial', 'objectif']"
"existantes contre des travaux, la Commission a refusé le projet EDF de la Truyère pourtant fondé sur des objectifs de transition énergétique, au motif que cela n’était pas permis par la directive Concessions. Un important potentiel hydroélectrique...",2023-04-02,2,4,2023,Eric Sartori,,"{'neg': 0.102, 'neu': 0.758, 'pos': 0.14, 'compound': 0.2268}",0.2268,Positif,"['projet', 'électrique', 'objectif']"
"🔵 EXCLUSIF | Agnès Pannier-Runacher, ministre de la Transition énergétique, présente ce lundi à de grandes entreprises les résultats d’une étude sur l’impact du télétravail sur la sobriété énergétique

Il serait positif, sous certaines conditions...
l.leparisien.fr/NTlB",2023-04-02,2,4,2023,Le Parisien | Ma Terre,,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.8987}",0.8987,Positif,"['ministre', 'entreprise']"
"🔵 EXCLUSIF | Agnès Pannier-Runacher, ministre de la Transition énergétique, présente ce lundi à de grandes entreprises les résultats d’une étude sur l’impact du télétravail sur la sobriété énergétique

Il serait positif, sous certaines conditions...
l.leparisien.fr/TVoF",2023-04-02,2,4,2023,Le Parisien,,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.8987}",0.8987,Positif,"['ministre', 'entreprise']"
"🔵 EXCLUSIF | Agnès Pannier-Runacher, ministre de la Transition énergétique, présente ce lundi à de grandes entreprises les résultats d’une étude sur l’impact du télétravail sur la sobriété énergétique

Il serait positif, sous certaines conditions...
l.leparisien.fr/c2tH",2023-04-02,2,4,2023,Le Parisien | économie,,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.8987}",0.8987,Positif,"['ministre', 'entreprise']"
Le futur ne sera pas ce qu’on en dit parce qu’on n’en sait rien et pour s’être trompé sur tout antérieurement. Mettre le paquet sur la transition énergétique alors que des familles qui contribuent par leurs taxes aux caisses gouvernementales sont dans la misère est irrationnel.,2023-04-02,2,4,2023,Yva Souriac,,"{'neg': 0.109, 'neu': 0.782, 'pos': 0.109, 'compound': -0.25}",-0.25,Negatif,['gouvernement']
"Sans la légende c'est pas top. On voit tout de même des parcs éoliens et PV, une mine de lithium, Cigéo. Tout cela est plus que nécessaire pour la transition énergétique.",2023-04-02,2,4,2023,Sylvain Maroufle,,"{'neg': 0.036, 'neu': 0.812, 'pos': 0.151, 'compound': 0.6593}",0.6593,Positif,['éolien']
"Recrutement Alternant Chargé de projet développement durable H/F 
#alternance #Lyon #transition #énergétique
orientation-environnement.fr…",2023-04-02,2,4,2023,🌍 Orientation Environnement,,"{'neg': 0.108, 'neu': 0.719, 'pos': 0.174, 'compound': 0.3382}",0.3382,Positif,"['projet', 'développement', 'durable']"
L’ONG Les Amis de la Terre – Togo mobilise les OSC et les médias pour une transition énergétique juste societecivilemedias.com/2023… via @Société Civile Médias @adttogo @amisdelaterre @jeunesvertsong,2023-04-02,2,4,2023,Société Civile Médias,,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.7639}",0.7639,Positif,['vert']
"☝ L'exemple à suivre : l'Hôtel Pietracap, à San Martino di Lota, qui s’est engagé dans une démarche de transition énergétique en passant au solaire thermique ☀️ Dà scopre quì : urlz.fr/l94M
#transitionenergetique #solairethermique",2023-04-02,2,4,2023,AUE,,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.5411}",0.5411,Positif,['solaire']
