Content,Date,Jour,Mois,Année,Utilisateur,Thème,Score,Compound,Sentiment,Mentions principales
"Pour financer la transition énergétique il n’y a pas d’argent. Mais pour reverser 132 milliards de dollars aux actionnaires en 1 mois, aucun soucis.",2023-02-02,2,2,2023,Politicoboy,,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.4926}",0.4926,Positif,['financer']
Il y a 2 mois la réforme devait permettre de financer la transition énergétique. Dans le PLF 2023 que vous avez publié elle doit financer les baisses d’impôts de production sur les entreprises. Pourquoi mentir aux français ? Assumez.,2023-02-02,2,2,2023,Politicoboy,,"{'neg': 0.036, 'neu': 0.861, 'pos': 0.103, 'compound': 0.5242}",0.5242,Positif,"['entreprise', 'financer', 'production', 'français']"
Très belle proposition de @ALEC_Lyon pour rendre les écoliers acteurs de la transition énergétique et sensibiliser les adultes...,2023-02-02,2,2,2023,Antoine Colliat,,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.6253}",0.6253,Positif,[]
"🇱🇺🇪🇺🇫🇷 Au Luxembourg pour débattre aux côtés de mon collègue Robby Biwer de la transition énergétique et de l’enjeux du logement pour la forte communauté française de la ville de #Bettembourg
@lsap_lu @PES_CoR",2023-02-02,2,2,2023,Christophe Rouillon,,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.4926}",0.4926,Positif,['français']
"_xDD34__xD83D_ 🟢 Coprésidant avec le Chef du gouvernent, Aziz Akhannouch, les travaux de la 12-ème Réunion de Haut Niveau Maroc-Espagne, M. Sanchez a appelé à harmoniser les politiques publiques des deux pays, accélérer la digitalisation et assurer la transition énergétique ... 2/3",2023-02-02,2,2,2023,Abdelali HAIDA,,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.7847}",0.7847,Positif,"['politique', 'accélérer']"
"Tu t'es jamais dis qu'une petite partie pouvait quand même être nécessaire ?

Genre un bougie sur un voiture au sans-plomb : ça coûte queue d'alle sur le prix total et pourtant si t'en as pas tu vas pas loin.

Ben là c'est pareil avec la transition énergétique mon gars.",2023-02-02,2,2,2023,Énergies Informations,,"{'neg': 0.051, 'neu': 0.809, 'pos': 0.14, 'compound': 0.5719}",0.5719,Positif,['prix']
Transition énergétique : le défi d’une électrification de la France d’ici à 2050 lemonde.fr/economie/article/… a través de @lemondefr,2023-02-02,2,2,2023,Xandre Rodríguez,,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.5411}",0.5411,Positif,['monde']
La priorité sanitaire pour cette Europe de Von der Leyen! pas son objectif apparemment !business busness…nos agriculteurs# vont être ravis 😈Accord commercial UE-Chili : la souveraineté alimentaire passera après la transition énergétique | Portail de l'IE portail-ie.fr/short/4259/acc…,2023-02-02,2,2,2023,GWARD 🇫🇷🇨🇦🇬🇷🦂🇦🇲🇮🇱🇷🇺🇱🇺,,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.8007}",0.8007,Positif,['objectif']
"Demain j'aurai le plaisir d'aller dans un lycée à Eu pour parler de la #fakenews du siècle : la transition énergétique. Ca devrait être un super moment d'échange et de désintoxication médiatique pour ceux qui feront la France de demain.
piped.video/watch?v=4cQbpsvN…",2023-02-02,2,2,2023,Nicolas Meilhan,,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.5859}",0.5859,Positif,[]
"#ENERGIE: Voilà un pays 🇪🇺 qui a compris ce qu’à besoin réellement la transition énergétique.

76 réacteurs nucléaires pour 2036.

Ils ont compris ce qu’est un futur prospère où le bien-être du citoyen sera assuré et cela loin d’une paupérisation massive.

fr.businessam.be/pologne-nuc…",2023-02-02,2,2,2023,ERIC VAN VAERENBERGH-艾瑞克,,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.9214}",0.9214,Positif,"['nucléaire', 'besoin']"
"Grâce aux KiloActs gagnés en agissant pour la transition énergétique avec ENGIE, je soutiens le projet de reforestation en Meurthe-et-Moselle ! @ENGIEpartFR particuliers.engie.fr/mon_pr… #JagisAvecEngie # MonProgrammePourAgir",2023-02-02,2,2,2023,Caroline,,"{'neg': 0.036, 'neu': 0.719, 'pos': 0.245, 'compound': 0.7707}",0.7707,Positif,['projet']
"Signal + ? 
Archi faux car les EnRi sont adossées aux centrales thermiques à gaz. Landivisiau, déjà presque cédez aux espagnols à peine inaugurée, en est la preuve accablante. Sacrée transition énergétique 😤.",2023-02-02,2,2,2023,Patrice Dessaint,,"{'neg': 0.176, 'neu': 0.759, 'pos': 0.065, 'compound': -0.4576}",-0.4576,Negatif,[]
La transition énergétique est trop rapide. La classe moyenne ne pourra pas suivre. Surtout avec l'inflation COVID sur l'ensemble des nouveaux projets.,2023-02-02,2,2,2023,SamTheNuggetMan,,"{'neg': 0.045, 'neu': 0.792, 'pos': 0.162, 'compound': 0.5255}",0.5255,Positif,"['projet', 'nouveau']"
TRIBUNE. Le défi de la transition énergétique pour les entreprises ultramarines : une priorité pour la Fédération des Entreprises des Outre-mer en 2023 antilla-martinique.com/tribu…,2023-02-02,2,2,2023,Troudart Serge,,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.5837}",0.5837,Positif,['entreprise']
Possible tout comme ce qui ne s'est jamais fait dans l'histoire de l'humanité c'est une transition énergétique.,2023-02-02,2,2,2023,Vinz Kanté,,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.5719}",0.5719,Positif,[]
"Prix pompe à chaleur 42000 euros 
Voiture électrique style ZOE + 35000 euros
La transition énergétique ça va coûter un pognon de dingue qui va payer ou pouvoir se la payer ? #transitionécologique",2023-02-02,2,2,2023,LA BOURSE ET LA VIE TV ⭐️⭐️,,"{'neg': 0.129, 'neu': 0.656, 'pos': 0.215, 'compound': 0.7633}",0.7633,Positif,"['électrique', 'écologique']"
"🇩🇪 vise 2035 pour l'achèvement de sa transition énergétique vers un mix 100% EnRv. Rien d'étonnant sur cette photo contemporaine donc.

🇫🇷 @rte a établi un scénario 100% EnRv (M0) dans son étude ""futur énergétique 2050"".

Donc oui, il est techniquement possible de faire sans.",2023-02-02,2,2,2023,Tissot Sacha,,"{'neg': 0.079, 'neu': 0.816, 'pos': 0.105, 'compound': 0.5983}",0.5983,Positif,[]
"ℹ️ Réunion co-présidée par la ministre de la transition énergétique @AgnesRunacher, et par le ministre délégué aux @lesoutremer Jean-François Carenco.

↔️ Temps d'échanges prévus pour recueillir l’avis et les questions des participants à la visio-conférence.",2023-02-02,2,2,2023,Préfet de la région Guyane 🇫🇷🇪🇺,,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.4926}",0.4926,Positif,"['ministre', 'conférence']"
"EN DIRECT : François Legault, PM du Québec, discute d’un projet pilote sur la transition énergétique
➡️ow.ly/2h4y50MIbHL

LIVE: Quebec Premier François Legault discusses pilot for energy transition
➡️ow.ly/wmms50MIbHK
#polcan | #cdnpoli",2023-02-02,2,2,2023,CPAC,,"{'neg': 0.067, 'neu': 0.748, 'pos': 0.185, 'compound': 0.6496}",0.6496,Positif,['projet']
"13 h 00 HE: François Legault, PM du Québec, discute d’un projet pilote sur la transition énergétique #cdnpoli
torynow.com/stream/KJdcG7EWi…",2023-02-02,2,2,2023,ToryNow,,"{'neg': 0.11, 'neu': 0.702, 'pos': 0.189, 'compound': 0.453}",0.453,Positif,['projet']
"La transition énergétique des entreprises, c'est aussi proposer des solutions de mobilité durable aux employés : tinyurl.com/2bmybbcz",2023-02-03,3,2,2023,Hamilton Marleau,,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.4939}",0.4939,Positif,"['entreprise', 'durable', 'solution', 'proposer']"
"La dame se présente ainsi sur Twitter :
« Parceque nous n'avons qu'une planète luttons pour sa protection. Elue à la Convention Citoyenne pour la Transition Énergétique. #LesVerts ».",2023-02-03,3,2,2023,selineVb,,"{'neg': 0.071, 'neu': 0.798, 'pos': 0.131, 'compound': 0.3367}",0.3367,Positif,['plan']
"La transition énergétique est en cours, vivement les véhicules électriques, traversiers électriques, tramway. Sobriété énergétique svp…Hydro-Québec s’est engagée à vendre 20 000 MW aux Américains à bas prix pour 25 ans.",2023-02-03,3,2,2023,andre couture,,"{'neg': 0.055, 'neu': 0.675, 'pos': 0.27, 'compound': 0.858}",0.858,Positif,"['électrique', 'prix']"
"hydrogentoday.info/ademe-hyd… 
A l’occasion du salon HyVolution, Agnès Pannier-Runacher, ministre de la Transition énergétique, a dévoilé 14 nouveaux lauréats de l’appel à projets « Écosystèmes territoriaux hydrogène ».",2023-02-03,3,2,2023,Jean-Pierre Deshayes,,"{'neg': 0.037, 'neu': 0.769, 'pos': 0.194, 'compound': 0.7707}",0.7707,Positif,"['ministre', 'projet', 'nouveau']"
Et qui a subventionné l'installation de chaudières à fioul à condensation jusqu'en 2018 via le crédit d'impôts sur la transition énergétique...,2023-02-03,3,2,2023,Maxence Cordiez,,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.5862}",0.5862,Positif,[]
"À un moment, il va falloir cesser ces pantomimes « concurrentielles » et boursières pour revenir à l’essentiel = la transition énergétique française par les transferts vers l’élec et la compétitivité de l’industrie française. Le reste relève de la comedia del Arte !",2023-02-03,3,2,2023,JF Raux - Les questions qui dérangent…,,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.4926}",0.4926,Positif,['français']
