Content,Date,Jour,Mois,Année,Utilisateur,Thème,Score,Compound,Sentiment,Mentions principales
"Je comprend pas ce tweet.

Tu dis qu’on va forcément échouer de toute façon donc osef ? Ou tu ne crois pas au réchauffement climatique ? 
Ou tu as une définition particulière du terme « transition énergétique » ?",2023-03-02,2,3,2023,Galette parfaitement lucide,,"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.6174}",0.6174,Positif,['climat']
Elle rappelle juste que la transition énergétique ne doit pas se faire au détriment d’autres considérations comme le respect des zones consacrées à l’élevage. C’est ça être taré pour vous ?,2023-03-02,2,3,2023,Digus,,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.8402}",0.8402,Positif,[]
"@Cdenquete 
La Ministre de la transition énergétique, @AgnesRunacher a beaucoup de mal à convaincre son interlocuteur @tristanwaleckx !
Il lui assene des chiffres comme un boxeur des uppercuts et elle, complètement groggy lui répond : "" mais je ne serai plus Ministre en 2050 ! """,2023-03-02,2,3,2023,Exlibris40,,"{'neg': 0.038, 'neu': 0.855, 'pos': 0.107, 'compound': 0.5856}",0.5856,Positif,[]
"🔴Peut-on vraiment atteindre l’objectif de 35 millions de logements rénovés d’ici 2050 ?

🗣️@agnesrunacher, ministre de la Transition énergétique, répond avec optimisme.

⏯️bit.ly/complementdenquete",2023-03-02,2,3,2023,Complément d'enquête,,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.7955}",0.7955,Positif,"['ministre', 'objectif']"
"@Cdenquete 
Je constate que la Ministre de la transition énergétique, @AgnesRunacher connaît bien le vocabulaire des escrocs tels que H2E France.
Elle les traite de :
Brebis galeuses
Bonimenteurs
Margoulins 
Mais quand va t'elle ENFIN leur mettre les pinces ?",2023-03-02,2,3,2023,Exlibris40,,"{'neg': 0.037, 'neu': 0.873, 'pos': 0.09, 'compound': 0.4559}",0.4559,Positif,[]
Le Journaliste de complètement d'enquête face à la ministre de la Transition énergétique de France Agnès Pannier Runacher concernant les milliards mal dépensés sur la Rénovation Énergétique !,2023-03-02,2,3,2023,Rossier,,"{'neg': 0.05, 'neu': 0.731, 'pos': 0.219, 'compound': 0.6996}",0.6996,Positif,['ministre']
"🔴Des entreprises profitent des aides #MaPrimeRénov pour abuser des clients.

🗣️“Ce n’est pas une arnaque encouragée par l’Etat” affirme @agnesrunacher, ministre de la Transition énergétique dans #ComplementDenquete

⏯️bit.ly/complementdenquete",2023-03-02,2,3,2023,Complément d'enquête,,"{'neg': 0.111, 'neu': 0.67, 'pos': 0.219, 'compound': 0.6377}",0.6377,Positif,"['ministre', 'entreprise']"
On peut regretter que🇩🇪ait abandonné le nucléaire (c mon cas); on peut être sceptique (je le suis) sur la réussite de leur projet de transition énergétique à m&l termes.On ne peut pas dire en revanche que leurs centrales à charbon vont durer indéfiniment ni que leur stratégie1/2,2023-03-02,2,3,2023,Henri Fontaine 🇨🇵🇪🇺🇩🇪,,"{'neg': 0.127, 'neu': 0.731, 'pos': 0.143, 'compound': 0.2263}",0.2263,Positif,"['nucléaire', 'projet', 'charbon']"
Le Congrès (parlement et Sénat) peut rassembler nos différentes opinions et la voix de la population de la RDC sur l'impact de la crise du changement climatique et promouvoir une législation pour notre adaptation et promouvoir la transition énergétique dans tous les secteurs.,2023-03-02,2,3,2023,Archip Lobo,,"{'neg': 0.078, 'neu': 0.741, 'pos': 0.181, 'compound': 0.5707}",0.5707,Positif,['climat']
Total Energies Ep souhaite accompagner le Congo dans sa transition énergétique tribune-eco.cg/?p=1743,2023-03-02,2,3,2023,Tribune Eco,,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.6597}",0.6597,Positif,[]
"Grâce à cette incitation pour des travaux de transition énergétique ( isolation, panneaux solaires, fenêtres, etc ) sous forme de crédit d'impôt égal à 110% de l'investissement, en 2022, le déficit public ne sera plus de 5,5 % du PIB mais à 8 %. Chapeau.",2023-03-02,2,3,2023,Ugo Di Luca 🇪🇺,,"{'neg': 0.097, 'neu': 0.735, 'pos': 0.168, 'compound': 0.6662}",0.6662,Positif,"['solaire', 'public']"
Rejoignez-nous demain pour les enjeux qui impacterons la situation de production des batteries mondiales dans cette transition énergétique va le monopole et contrôle des minerais clé. #EV #batteries,2023-03-02,2,3,2023,Joe ⚡️🔋 🚙,,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4926}",0.4926,Positif,"['production', 'mondial']"
"Rejoignez-nous ce samedi à 20h, Kinshasa. En ce moment clé de la transition énergétique, nous allons parler diversification ou monopole Chinois dans les mines Congolaises et l’impact économique, demain. #cobalt #Lithium #Nickel etc. #COMINIERE, #SICOMINE, #CAMI, $AVZ 🔋🚙🇨🇩",2023-03-02,2,3,2023,Joe ⚡️🔋 🚙,,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.7556}",0.7556,Positif,[]
