mots;fréquence d'apparition
transition;2222
énergétique;2177
ministre;166
france;131
nucléaire;128
énergie;89
milliard;81
énergies;70
entreprises;69
climatique;60
plan;59
solaire;58
2023;57
pétrole;57
écologique;57
électrique;55
projet;55
financer;55
question;54
production;54
monde;54
développement;54
métaux;53
carbone;52
prix;52
climat;52
allemagne;50
co2;48
renouvelables;48
grand;48
temp;47
lallemagne;47
charbon;46
fossiles;46
besoin;45
accélérer;44
électricité;44
québec;43
transitionenergetique;42
électriques;40
politique;39
solution;38
ministère;38
santé;37
allemande;37
gouvernement;37
macron;37
rdc;36
durable;36
agnesrunacher;36
lénergie;35
loi;35
projets;35
économie;35
enjeux;34
public;34
émissions;34
matière;32
europe;31
années;30
guerre;30
centrales;30
mal;29
rôle;29
société;29
afrique;29
français;29
rapport;29
mondiale;28
éolien;28
cadre;28
source;28
chine;28
vert;27
sobriété;27
recherche;27
fin;27
modèle;27
réchauffement;27
investissements;26
battery;26
critique;26
consommation;26
économique;26
transport;26
minerais;26
véhicules;25
problème;25
défis;25
secteur;25
verte;25
conférence;24
maroc;24
président;24
financement;24
dénergie;24
retraites;24
croissance;24
industrie;24
politiques;23
programme;23
compte;23
grande;23
energetique;23
hydrogène;23
deuros;23
accord;23
nécessaires;23
euro;23
service;23
éoliennes;23
article;22
edf;22
nouvelles;22
biden;22
demain;22
travail;21
acteurs;21
lutte;21
impact;21
réseau;21
ressources;21
réforme;21
faveur;21
jeunes;20
choses;20
groupe;20
mondial;20
terme;20
voir;20
assurer;20
réduire;20
lélectricité;20
vrai;20
lemondefreconomiearticle;20
canada;19
ue;19
leurope;19
aurore;19
débat;19
2050;19
prendre;19
voiture;19
délectricité;19
planète;18
domaine;18
tonne;18
cobalt;18
leader;18
engagés;18
vie;18
défi;18
budget;18
marché;18
solaires;18
cause;18
centrale;18
action;17
mine;17
lhydrogène;17
cours;17
discussion;17
construction;17
allemand;17
ville;17
visite;17
atlanticofrarticledecrypt;17
cœur;17
continuer;17
vent;17
stratégie;17
coup;17
technology;16
stratégique;16
lithium;16
unlock;16
thème;16
territoire;16
moment;16
nécessaire;16
innovation;16
réduction;16
réalité;16
étape;16
nationale;16
minier;16
citoyens;16
commission;16
construire;16
décarbonation;16
passer;16
réussir;16
crise;15
fonds;15
belle;15
conseil;15
dépenses;15
lobby;15
engagement;15
développer;15
partir;15
aide;15
réduit;15
exploitation;15
retraite;15
entreprise;15
vision;15
soutien;15
aujourdhui;15
système;15
gros;15
investir;15
energy;15
augmenter;15
propre;14
stratégiques;14
voitures;14
investissement;14
campagne;14
infrastructure;14
argent;14
emplois;14
objectifs;14
véhicule;14
française;14
finance;14
site;14
niveau;14
impossible;14
renouvelable;14
daccord;14
sécurité;14
autour;14
avenir;14
climatiques;14
dautres;14
der;14
pensée;14
von;14
présente;14
accélère;13
discours;13
dette;13
subvention;13
soutiens;13
déficit;13
économies;13
condition;13
industry;13
histoire;13
maire;13
nom;13
créer;13
vient;13
échanges;13
européen;13
comprendre;13
retard;13
fossile;13
verts;13
giec;13
changements;13
voix;13
lindustrie;13
population;13
paris;13
justice;13
pourtant;13
produire;13
cétait;13
terre;13
commune;13
filière;13
crois;13
journée;13
bientôt;13
annonce;13
train;13
dici;13
jours;13
manque;13
changement;12
membres;12
région;12
lon;12
ukraine;12
engie;12
éviter;12
inflation;12
centre;12
proposition;12
energie;12
aider;12
objectif;12
nucléaires;12
souveraineté;12
léolien;12
parc;12
expert;12
important;12
efficace;12
atlanticofr;12
environnement;12
moyen;12
numérique;12
payer;12
moyens;12
